,kl_div,circuit_id,layer
0,inf,1.0,1.0
1,inf,2.0,1.0
2,inf,1.0,2.0
3,inf,2.0,2.0
4,inf,3.0,1.0
5,inf,1.0,3.0
6,inf,2.0,3.0
7,inf,1.0,4.0
8,inf,3.0,2.0
9,inf,2.0,4.0
10,inf,1.0,5.0
11,inf,4.0,1.0
12,inf,1.0,6.0
13,inf,3.0,3.0
14,0.9996976088686088,2.0,5.0
15,inf,1.0,7.0
16,inf,4.0,2.0
17,inf,2.0,6.0
18,inf,3.0,4.0
19,inf,1.0,8.0
20,inf,2.0,7.0
21,inf,4.0,3.0
22,inf,5.0,1.0
23,inf,3.0,5.0
24,inf,2.0,8.0
25,inf,4.0,4.0
26,inf,3.0,6.0
27,inf,5.0,2.0
28,inf,6.0,1.0
29,inf,4.0,5.0
30,inf,3.0,7.0
31,inf,5.0,3.0
32,1.010338249854025,4.0,6.0
33,0.9996823052681822,6.0,2.0
34,inf,7.0,1.0
35,inf,4.0,7.0
36,inf,3.0,8.0
37,inf,5.0,4.0
38,inf,7.0,2.0
39,1.0008676518521804,6.0,3.0
40,inf,5.0,5.0
41,inf,4.0,8.0
42,inf,7.0,3.0
43,inf,6.0,4.0
44,inf,8.0,1.0
45,inf,5.0,6.0
46,inf,7.0,4.0
47,inf,8.0,2.0
48,inf,7.0,5.0
49,inf,6.0,5.0
50,inf,8.0,3.0
51,inf,9.0,1.0
52,inf,7.0,6.0
53,inf,9.0,2.0
54,1.0036855014632264,5.0,7.0
55,inf,8.0,4.0
56,inf,9.0,3.0
57,1.0034328554315706,6.0,6.0
58,inf,7.0,7.0
59,1.0024998229491777,5.0,8.0
60,inf,8.0,5.0
61,inf,10.0,1.0
62,inf,9.0,4.0
63,inf,10.0,2.0
64,inf,7.0,8.0
65,inf,8.0,6.0
66,0.9932167181246161,9.0,5.0
67,0.9934736261570183,6.0,7.0
68,inf,10.0,3.0
69,inf,11.0,1.0
70,inf,8.0,7.0
71,inf,10.0,4.0
72,inf,9.0,6.0
73,inf,10.0,5.0
74,inf,11.0,2.0
75,0.9949877104047531,9.0,7.0
76,1.0036060933989617,6.0,8.0
77,inf,12.0,1.0
78,inf,8.0,8.0
79,inf,11.0,3.0
80,inf,10.0,6.0
81,0.9984531102158751,9.0,8.0
82,inf,12.0,2.0
83,0.9952428772572721,11.0,4.0
84,inf,13.0,1.0
85,inf,10.0,7.0
86,inf,12.0,3.0
87,inf,11.0,5.0
88,inf,10.0,8.0
89,inf,13.0,2.0
90,inf,11.0,6.0
91,inf,12.0,4.0
92,inf,14.0,1.0
93,inf,13.0,3.0
94,inf,12.0,5.0
95,inf,14.0,2.0
96,inf,13.0,4.0
97,inf,11.0,7.0
98,inf,12.0,6.0
99,inf,15.0,1.0
100,inf,13.0,5.0
101,inf,11.0,8.0
102,inf,14.0,3.0
103,inf,15.0,2.0
104,inf,12.0,7.0
105,inf,13.0,6.0
106,inf,14.0,4.0
107,inf,15.0,3.0
108,inf,16.0,1.0
109,0.9965117476048507,12.0,8.0
110,inf,14.0,5.0
111,inf,16.0,2.0
112,inf,15.0,4.0
113,inf,13.0,7.0
114,inf,15.0,5.0
115,inf,16.0,3.0
116,inf,17.0,1.0
117,inf,14.0,6.0
118,inf,15.0,6.0
119,inf,13.0,8.0
120,inf,17.0,2.0
121,inf,16.0,4.0
122,inf,15.0,7.0
123,inf,14.0,7.0
124,inf,18.0,1.0
125,inf,16.0,5.0
126,inf,17.0,3.0
127,inf,18.0,2.0
128,inf,17.0,4.0
129,inf,15.0,8.0
130,inf,16.0,6.0
131,0.9924287395330978,14.0,8.0
132,1.0030387484421186,17.0,5.0
133,inf,19.0,1.0
134,inf,16.0,7.0
135,inf,18.0,3.0
136,inf,17.0,6.0
137,inf,19.0,2.0
138,inf,16.0,8.0
139,inf,18.0,4.0
140,1.0162484108673762,19.0,3.0
141,inf,17.0,7.0
142,inf,18.0,5.0
143,inf,19.0,4.0
144,inf,18.0,6.0
145,inf,17.0,8.0
146,inf,19.0,5.0
147,inf,18.0,7.0
148,inf,19.0,6.0
149,0.9943909203740635,18.0,8.0
150,0.9969018263312321,19.0,7.0
151,inf,19.0,8.0
