dataset,circuit_id,layer,num_params,accuracy,entcap,expr,last_cost_avg,num_iter
0.0,1.0,1.0,10.0,0.88,1.86965254743195e-32,0.286613291810978,0.103763580322266,57.0
0.0,1.0,2.0,20.0,0.9,6.18792873591503e-32,0.254940351797702,0.106925964355469,38.0
0.0,1.0,3.0,30.0,0.886666666666667,1.1110897190416999e-31,0.211470462414797,0.109321594238281,62.0
0.0,1.0,4.0,40.0,0.88,1.58942881213098e-31,0.18288409510916,0.106986999511719,48.0
0.0,1.0,5.0,50.0,0.88,2.11708472953471e-31,0.214214951799608,0.107898712158203,47.0
0.0,1.0,6.0,60.0,0.866666666666667,2.59758834590935e-31,0.213362089807253,0.111190795898438,44.0
0.0,1.0,7.0,70.0,0.866666666666667,3.0983992331767995e-31,0.201792226575325,0.105922698974609,47.0
0.0,1.0,8.0,80.0,0.853333333333333,3.5948895105551997e-31,0.225203843591241,0.113086700439453,38.0
0.0,2.0,1.0,10.0,0.886666666666667,0.668010668551496,0.318978452514108,0.0963478088378906,48.0
0.0,2.0,2.0,20.0,0.9,0.748319611229541,0.0327942420118459,0.0793952941894531,42.0
0.0,2.0,3.0,30.0,0.806666666666667,0.841825152184371,0.0096892064629956,0.0887260437011719,64.0
0.0,2.0,4.0,40.0,0.9,0.870040833859798,0.0068495676613186,0.0855522155761719,51.0
0.0,2.0,5.0,50.0,0.906666666666667,0.890293220477216,0.0083709391487412,0.0883255004882813,50.0
0.0,2.0,6.0,60.0,0.733333333333333,0.899162007408122,0.0065483707356473,0.0866012573242188,56.0
0.0,2.0,7.0,70.0,0.9,0.904949309413244,0.0049112296909276,0.101242065429688,70.0
0.0,2.0,8.0,80.0,0.666666666666667,0.906194427204139,0.0062894882627468,0.0963859558105469,42.0
0.0,3.0,1.0,14.0,0.833333333333333,0.174864486421583,0.281556585794248,0.116245269775391,47.0
0.0,3.0,2.0,28.0,0.88,0.336978144333574,0.122474459537026,0.108009338378906,45.0
0.0,3.0,3.0,42.0,0.806666666666667,0.45877703132688,0.058546689902837,0.0812721252441406,67.0
0.0,3.0,4.0,56.0,0.88,0.538309864103308,0.0369653619361119,0.0784950256347656,46.0
0.0,3.0,5.0,70.0,0.926666666666667,0.595988468197558,0.0224526004783079,0.0833396911621094,58.0
0.0,3.0,6.0,84.0,0.886666666666667,0.634302602036645,0.0175199607996073,0.0886993408203125,61.0
0.0,3.0,7.0,98.0,0.76,0.673791493444154,0.0133826243400612,0.0756683349609375,50.0
0.0,3.0,8.0,112.0,0.9,0.703974482053766,0.0071730464308415,0.0861015319824219,39.0
0.0,4.0,1.0,14.0,0.853333333333333,0.332425697272025,0.130647560176699,0.085784912109375,41.0
0.0,4.0,2.0,28.0,0.9,0.490237192989363,0.0435290886209889,0.0851097106933594,54.0
0.0,4.0,3.0,42.0,0.926666666666667,0.591975303945621,0.0234321402892474,0.0807571411132813,59.0
0.0,4.0,4.0,56.0,0.92,0.657638002514521,0.0132101203188141,0.0812187194824219,41.0
0.0,4.0,5.0,70.0,0.886666666666667,0.702807435213559,0.0075036568454423,0.0908470153808594,54.0
0.0,4.0,6.0,84.0,0.893333333333333,0.744761842889356,0.0085367651019494,0.0868034362792969,56.0
0.0,4.0,7.0,98.0,0.853333333333333,0.772592075549051,0.0061433119015081,0.0725936889648438,46.0
0.0,4.0,8.0,112.0,0.753333333333333,0.800914317719055,0.0061935884528449,0.0833663940429688,53.0
0.0,5.0,1.0,40.0,0.893333333333333,0.330807141175338,0.0485594095422689,0.0785369873046875,79.0
0.0,5.0,2.0,80.0,0.906666666666667,0.651039448605405,0.0069158417948972,0.0922279357910156,58.0
0.0,5.0,3.0,120.0,0.873333333333333,0.793800094297597,0.0041655074467864,0.0884742736816406,36.0
0.0,5.0,4.0,160.0,0.666666666666667,0.857859391411489,0.0041345061379145,0.0953941345214844,42.0
0.0,5.0,5.0,200.0,0.666666666666667,0.884932580087248,0.0057591331820971,0.0850906372070313,60.0
0.0,5.0,6.0,240.0,0.68,0.896541293865742,0.005743035081551,0.0928077697753906,52.0
0.0,5.0,7.0,280.0,0.666666666666667,0.90322566442017,0.004708801376008,0.0905876159667969,52.0
0.0,5.0,8.0,320.0,0.333333333333333,0.906456348127634,0.0039583326078067,0.119739532470703,57.0
0.0,6.0,1.0,40.0,0.893333333333333,0.786868317106355,0.0089524011721546,0.0910758972167969,39.0
0.0,6.0,2.0,80.0,0.906666666666667,0.894585631376907,0.0032517206306978,0.0777549743652344,60.0
0.0,6.0,3.0,120.0,0.693333333333333,0.905903548158151,0.0077094175203064,0.0806503295898438,40.0
0.0,6.0,4.0,160.0,0.333333333333333,0.907707971649888,0.0039976899929465,0.0941581726074219,43.0
0.0,6.0,5.0,200.0,0.833333333333333,0.907054986431361,0.0056704450296686,0.0930671691894531,70.0
0.0,6.0,6.0,240.0,0.493333333333333,0.908431991822082,0.0029625377120341,0.113368988037109,56.0
0.0,6.0,7.0,280.0,0.586666666666667,0.906520551171026,0.0043824612700185,0.0962257385253906,53.0
0.0,6.0,8.0,320.0,0.666666666666667,0.908000440657108,0.0052469453748099,0.0971717834472656,59.0
0.0,7.0,1.0,24.0,0.86,0.236730071843176,0.146829787680641,0.107440948486328,58.0
0.0,7.0,2.0,48.0,0.906666666666667,0.428030482156004,0.0525828822627294,0.0823440551757813,48.0
0.0,7.0,3.0,72.0,0.9,0.539692690769907,0.0289273412475354,0.0914077758789063,56.0
0.0,7.0,4.0,96.0,0.893333333333333,0.612675389251119,0.0217895118963438,0.0823745727539063,44.0
0.0,7.0,5.0,120.0,0.733333333333333,0.663522607268336,0.0169246491343558,0.0876693725585938,62.0
0.0,7.0,6.0,144.0,0.733333333333333,0.702131451150164,0.0075514067202508,0.0848426818847656,50.0
0.0,7.0,7.0,168.0,0.846666666666667,0.738068292623978,0.0061727402543355,0.0861930847167969,61.0
0.0,7.0,8.0,192.0,0.666666666666667,0.762350735971098,0.0090862717200994,0.0869407653808594,55.0
0.0,8.0,1.0,24.0,0.853333333333333,0.308777360243056,0.111601290056368,0.0829582214355469,65.0
0.0,8.0,2.0,48.0,0.893333333333333,0.493688689994234,0.0334899678693238,0.0820999145507813,50.0
0.0,8.0,3.0,72.0,0.873333333333333,0.593945085296862,0.0180327910160132,0.0807380676269531,47.0
0.0,8.0,4.0,96.0,0.746666666666667,0.666433471197235,0.013468381830204,0.0964279174804688,53.0
0.0,8.0,5.0,120.0,0.88,0.715157060205207,0.011215393890365,0.0783729553222656,43.0
0.0,8.0,6.0,144.0,0.72,0.754432500182222,0.0066785329169328,0.094635009765625,57.0
0.0,8.0,7.0,168.0,0.34,0.783055834022038,0.0052191518569633,0.103073120117188,51.0
0.0,8.0,8.0,192.0,0.666666666666667,0.809424837398771,0.0041766620833467,0.101100921630859,71.0
0.0,9.0,1.0,5.0,0.88,1.0,0.772086258695917,0.134269714355469,37.0
0.0,9.0,2.0,10.0,0.9,1.0,0.0877471938788209,0.122249603271484,37.0
