dataset,circuit_id,layer,num_params,accuracy,entcap,expr,last_cost_avg,num_iter
0.0,1.0,1.0,12.0,0.9140625,2.60233047233536e-32,0.31596813075354246,0.1641616821289065,62.0
0.0,1.0,2.0,24.0,0.921875,8.20713272900938e-32,0.2261169383305055,0.14678955078125,63.5
0.0,1.0,3.0,36.0,0.90625,1.4497488990033298e-31,0.2161100614965035,0.1474246978759765,89.5
0.0,1.0,4.0,48.0,0.9140625,2.11452549975396e-31,0.25964810013845,0.143026351928711,96.0
0.0,1.0,5.0,60.0,0.9453125,2.7838418982993352e-31,0.2809864413404405,0.14971923828125,70.0
0.0,1.0,6.0,72.0,0.9453125,3.43767781241023e-31,0.243623937320815,0.149997711181641,71.0
0.0,1.0,7.0,84.0,0.9296875,4.094176650036146e-31,0.2444676643055635,0.14576530456543002,66.5
0.0,1.0,8.0,96.0,0.9296875,4.74516026569535e-31,0.26264182603070196,0.14152336120605502,67.5
0.0,2.0,1.0,12.0,0.90625,0.723779161609809,0.309256452609487,0.14910697937011752,103.5
0.0,2.0,2.0,24.0,0.921875,0.7886355049934255,0.0435686863136546,0.1154594421386715,102.5
0.0,2.0,3.0,36.0,0.9140625,0.8813018754172885,0.01503268532456795,0.120216369628906,104.5
0.0,2.0,4.0,48.0,0.921875,0.906028628165132,0.0051494366383959,0.122520446777344,85.0
0.0,2.0,5.0,60.0,0.8828125,0.9308338247488055,0.0045860569362810005,0.1084861755371095,114.0
0.0,2.0,6.0,72.0,0.84375,0.9416446740851635,0.0057301906638491,0.129547119140625,86.5
0.0,2.0,7.0,84.0,0.7578125,0.9476431256254045,0.0042110046956556,0.1263484954833985,72.0
0.0,2.0,8.0,96.0,0.734375,0.9510335419556979,0.00422242690145885,0.135335922241211,80.0
0.0,3.0,1.0,17.0,0.90625,0.189094317573054,0.291011905865013,0.172208786010742,92.0
0.0,3.0,2.0,34.0,0.953125,0.3655773107778285,0.13204338384484,0.134500503540039,75.0
0.0,3.0,3.0,51.0,0.9296875,0.4813265781178585,0.08390697732403765,0.1593074798583985,71.0
0.0,3.0,4.0,68.0,0.921875,0.5597240692377254,0.06579513396549284,0.131736755371094,79.0
0.0,3.0,5.0,85.0,0.890625,0.622984016518214,0.0419396704580508,0.1310672760009765,86.0
0.0,3.0,6.0,102.0,0.84375,0.665552802409182,0.03807949427355685,0.1350460052490235,52.5
0.0,3.0,7.0,119.0,0.875,0.6996165847980536,0.032817502235288246,0.1269836425781255,63.5
0.0,3.0,8.0,136.0,0.703125,0.7312439758155009,0.0204195025061761,0.1431407928466795,85.5
0.0,4.0,1.0,17.0,0.90625,0.3570362695237405,0.192846428266918,0.15270233154296847,84.5
0.0,4.0,2.0,34.0,0.9375,0.5228238303982036,0.10025968267747914,0.1356697082519535,91.0
0.0,4.0,3.0,51.0,0.9375,0.6251633899323725,0.028733086886572147,0.125297546386719,97.0
