[2021-10-31 00:54:39,564] __main__ - INFO : number of total processes : 1216 at Parent Process 139319
[2021-10-31 00:54:39,599] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=1/0 | Process 139371 start (00:00:00)
[2021-10-31 00:54:39,599] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=2/0 | Process 139372 start (00:00:00)
[2021-10-31 00:54:39,599] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=3/0 | Process 139373 start (00:00:00)
[2021-10-31 00:54:39,599] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=4/0 | Process 139374 start (00:00:00)
[2021-10-31 00:54:39,600] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=5/0 | Process 139375 start (00:00:00)
[2021-10-31 00:54:39,600] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=6/0 | Process 139376 start (00:00:00)
[2021-10-31 00:54:39,600] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=7/0 | Process 139377 start (00:00:00)
[2021-10-31 00:54:39,600] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=8/0 | Process 139378 start (00:00:00)
[2021-10-31 00:54:39,600] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=1/0 | Process 139379 start (00:00:00)
[2021-10-31 00:54:39,600] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=2/0 | Process 139380 start (00:00:00)
[2021-10-31 00:54:39,600] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=3/0 | Process 139381 start (00:00:00)
[2021-10-31 00:54:39,600] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=4/0 | Process 139382 start (00:00:00)
[2021-10-31 00:54:39,601] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=5/0 | Process 139383 start (00:00:00)
[2021-10-31 00:54:39,601] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=6/0 | Process 139384 start (00:00:00)
[2021-10-31 00:54:39,601] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=7/0 | Process 139385 start (00:00:00)
[2021-10-31 00:54:39,604] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=8/0 | Process 139386 start (00:00:00)
[2021-10-31 00:55:40,978] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=1/0 | NQSVM object: expr=0.3019883488939413, entcap=2.557632342606022e-32 (00:01:01) / Start Optimization...
[2021-10-31 00:55:41,901] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=1/0 | NQSVM object: expr=0.3019883488939413, entcap=0.7234320035684283 (00:01:02) / Start Optimization...
