dataset,circuit_id,layer,num_params,expr,entcap,num_iter,last_cost_avg,accuracy
0,1,1,12,0.3019883488939413,2.557632342606022e-32,60,0.12823104858398438,0.9333333333333333
0,1,1,12,0.2870145889138328,2.5966081657631295e-32,73,0.15625381469726562,0.8666666666666667
0,1,1,12,0.39551481899345775,2.544295103737456e-32,88,0.14295196533203125,0.8533333333333334
0,1,1,12,0.3026395176572185,2.5635553816882333e-32,102,0.16574859619140625,0.8666666666666667
0,1,1,12,0.32284171472446427,2.5399992716235676e-32,181,0.13644027709960938,0.94
0,1,1,12,0.22871795856881605,2.606708289543523e-32,146,0.16260528564453125,0.88
0,1,1,12,0.31713126074058096,2.5914215547780567e-32,49,0.12475967407226562,0.94
0,1,1,12,0.32322555856369733,2.620986774887044e-32,45,0.11130523681640625,0.92
0,1,2,24,0.21579025605088964,8.24147127116301e-32,40,0.12295913696289062,0.9466666666666667
0,1,2,24,0.2602221885915833,8.201184806702134e-32,127,0.15150070190429688,0.8866666666666667
0,1,2,24,0.31464015757864616,8.187295670062035e-32,72,0.11655044555664062,0.9466666666666667
0,1,2,24,0.26140569876840625,8.18034099147717e-32,94,0.10674667358398438,0.9266666666666666
0,1,2,24,0.29719112700480377,8.057841950329846e-32,56,0.14818954467773438,0.8866666666666667
0,1,2,24,0.358707307111745,8.123850922095888e-32,171,0.09661483764648438,0.9266666666666666
0,1,2,24,0.18803310711892474,8.315931671972661e-32,130,0.13556671142578125,0.9066666666666666
0,1,2,24,0.2098795119990597,8.415198608657957e-32,46,0.12192916870117188,0.9466666666666667
0,1,3,36,0.2913102978718321,1.4731159673298408e-31,111,0.166015625,0.86
0,1,3,36,0.22442424669418443,1.4670677679413104e-31,40,0.11621475219726562,0.9733333333333334
0,1,3,36,0.2387043534102441,1.4632028347781423e-31,50,0.13994598388671875,0.9066666666666666
0,1,3,36,0.25643969147064477,1.4675508565437957e-31,85,0.097686767578125,0.9666666666666667
0,1,3,36,0.23567123344624996,1.4604506847242563e-31,71,0.10316848754882812,0.92
0,1,3,36,0.264531931321928,1.4619867026638075e-31,56,0.12308120727539062,0.9533333333333334
0,1,3,36,0.28702654175215864,1.4456344459946997e-31,45,0.1217193603515625,0.9266666666666666
0,1,3,36,0.2445565478838563,1.4812652202387967e-31,166,0.14294052124023438,0.8666666666666667
0,1,4,48,0.21930943276708287,2.134484647378334e-31,132,0.12139129638671875,0.94
0,1,4,48,0.19032758971154995,2.1041400499767048e-31,124,0.115692138671875,0.9333333333333333
0,1,4,48,0.2733787861951793,2.131489980272898e-31,103,0.11600494384765625,0.9533333333333334
0,1,4,48,0.17649183688037556,2.1049881224426432e-31,161,0.13289260864257812,0.92
0,1,4,48,0.2630663114618118,2.1151183660832717e-31,85,0.10707855224609375,0.8933333333333333
0,1,4,48,0.2906181823769828,2.1179822549781588e-31,78,0.11449432373046875,0.9533333333333334
0,1,4,48,0.25420115573948165,2.120125784292986e-31,56,0.13608551025390625,0.9
0,1,4,48,0.2573730626768857,2.1133278682844104e-31,93,0.1100616455078125,0.94
0,1,5,60,0.259070635738248,2.7549381945880682e-31,43,0.12838363647460938,0.8866666666666667
0,1,5,60,0.2128027866266287,2.76929062992196e-31,80,0.11104583740234375,0.9133333333333333
0,1,5,60,0.2582855211521229,2.7616642772881334e-31,82,0.10957717895507812,0.92
0,1,5,60,0.24441505016153328,2.777625935785032e-31,183,0.14326858520507812,0.9
0,1,5,60,0.2152240031274723,2.7662436023929535e-31,51,0.13356399536132812,0.9
0,1,5,60,0.2191237829245646,2.7762436068026465e-31,98,0.14080047607421875,0.8866666666666667
0,1,5,60,0.257258403252835,2.7425473302305586e-31,149,0.13421249389648438,0.8933333333333333
0,1,5,60,0.1958439066603916,2.825513872979373e-31,140,0.10333633422851562,0.9733333333333334
0,1,6,72,0.27334327140530645,3.435637178891556e-31,130,0.11082839965820312,0.9466666666666667
0,1,6,72,0.23744158664896203,3.46431362616035e-31,60,0.11214828491210938,0.9333333333333333
0,1,6,72,0.36242895391411767,3.3736271263086505e-31,89,0.11801528930664062,0.9333333333333333
0,1,6,72,0.2283853779895818,3.4588390557845195e-31,53,0.119598388671875,0.96
0,1,6,72,0.32886891877353447,3.464697423141207e-31,90,0.11494064331054688,0.8933333333333333
0,1,6,72,0.19808745497181116,3.4695717696304726e-31,62,0.13582992553710938,0.8866666666666667
0,1,6,72,0.21418877621348498,3.4076683506149197e-31,194,0.11510467529296875,0.9
0,1,6,72,0.1931489793252391,3.3980999967894896e-31,102,0.12616348266601562,0.9
0,1,7,84,0.3100062732754906,4.077500016724423e-31,102,0.12165069580078125,0.9133333333333333
0,1,7,84,0.27723065903111815,4.0709234342718735e-31,94,0.10030364990234375,0.96
0,1,7,84,0.2618798567122769,4.085526231058245e-31,227,0.14281463623046875,0.9266666666666666
