dataset,circuit_id,layer,num_params,accuracy,entcap,expr,last_cost_avg,num_iter
0.0,1.0,1.0,12.0,0.9,2.577488468233145e-32,0.30988538919889974,0.1396961212158203,80.5
0.0,1.0,2.0,24.0,0.9266666666666666,8.194240238382085e-32,0.2608139436799948,0.12244415283203125,83.0
0.0,1.0,3.0,36.0,0.9233333333333333,1.4651353013597263e-31,0.25049811967725055,0.12240028381347656,63.5
0.0,1.0,4.0,48.0,0.9366666666666666,2.1165503105307153e-31,0.2557871092081837,0.11584854125976562,98.0
0.0,1.0,5.0,60.0,0.9,2.767767116157457e-31,0.23176941654304895,0.13097381591796875,90.0
0.0,1.0,6.0,72.0,0.9166666666666667,3.4472381173380377e-31,0.23291348231927192,0.11655998229980469,89.5
0.0,1.0,7.0,84.0,0.9366666666666666,4.081513123891333e-31,0.23753870446308467,0.11390113830566406,81.5
0.0,1.0,8.0,96.0,0.9266666666666667,4.741629061636173e-31,0.27388065196874667,0.11760139465332031,55.0
0.0,2.0,1.0,12.0,0.9466666666666667,0.7225310777095638,0.3081834049752563,0.10910797119140625,63.0
0.0,2.0,2.0,24.0,0.9466666666666667,0.78763011359217,0.05760782834336395,0.10344696044921875,66.5
0.0,2.0,3.0,36.0,0.96,0.8801565965578761,0.01230573645681261,0.10051155090332031,57.0
0.0,2.0,4.0,48.0,0.9233333333333333,0.9067101664750141,0.006106203728253859,0.10292816162109375,58.0
0.0,2.0,5.0,60.0,0.9333333333333333,0.9304682108673248,0.0052236360420776645,0.10268402099609375,58.5
0.0,2.0,6.0,72.0,0.9133333333333333,0.941896727479369,0.004751467660521818,0.10017585754394531,72.0
0.0,2.0,7.0,84.0,0.9,0.9475441076230164,0.004312456558425581,0.09399223327636719,76.5
0.0,2.0,8.0,96.0,0.8633333333333333,0.9514122284828068,0.0038861532313083924,0.098602294921875,85.5
0.0,3.0,1.0,17.0,0.9099999999999999,0.18668262097507937,0.2923907085946548,0.104888916015625,91.5
0.0,3.0,2.0,34.0,0.9,0.3633224104235936,0.15079512878699905,0.12430191040039062,74.5
0.0,3.0,3.0,51.0,0.94,0.4759541824192577,0.09567686226681793,0.11061859130859375,73.0
0.0,3.0,4.0,68.0,0.94,0.5620119175504714,0.06942861893252975,0.11030769348144531,71.0
0.0,3.0,5.0,85.0,0.9033333333333333,0.6209499770681608,0.04035681877462359,0.11259841918945312,66.5
0.0,3.0,6.0,102.0,0.94,0.6655374240317687,0.03989394547325786,0.11545753479003906,66.0
0.0,3.0,7.0,119.0,0.89,0.7001850708663341,0.02548731352667427,0.11054229736328125,78.0
0.0,3.0,8.0,136.0,0.95,0.7284086137612711,0.019366592572460727,0.10838508605957031,60.5
0.0,4.0,1.0,17.0,0.9199999999999999,0.35472704884399486,0.15912827381749914,0.11644363403320312,91.5
0.0,4.0,2.0,34.0,0.9266666666666666,0.5250275844145269,0.06792535589402868,0.12240791320800781,91.0
0.0,4.0,3.0,51.0,0.92,0.6219850435612319,0.04336888817303988,0.11276054382324219,76.0
0.0,4.0,4.0,68.0,0.92,0.6931036172634482,0.02102458534237952,0.11541175842285156,60.0
0.0,4.0,5.0,85.0,0.9199999999999999,0.7429187960350272,0.01771359190011924,0.1178131103515625,69.5
