dataset,circuit_id,layer,num_params,accuracy,entcap,expr,last_cost_avg,num_iter
0.0,1.0,1.0,12.0,0.8533333333333334,2.5399992716235676e-32,0.22871795856881605,0.11130523681640625,45.0
0.0,1.0,2.0,24.0,0.8866666666666667,8.057841950329846e-32,0.18803310711892474,0.09661483764648438,40.0
0.0,1.0,3.0,36.0,0.86,1.4456344459946997e-31,0.22442424669418443,0.097686767578125,40.0
0.0,1.0,4.0,48.0,0.8933333333333333,2.1041400499767048e-31,0.17649183688037556,0.10707855224609375,56.0
0.0,1.0,5.0,60.0,0.8866666666666667,2.7425473302305586e-31,0.1958439066603916,0.10333633422851562,43.0
0.0,1.0,6.0,72.0,0.8866666666666667,3.3736271263086505e-31,0.1931489793252391,0.11082839965820312,53.0
0.0,1.0,7.0,84.0,0.9133333333333333,4.06391160713048e-31,0.20355499692838191,0.10030364990234375,47.0
0.0,1.0,8.0,96.0,0.8466666666666667,4.724591267974484e-31,0.21699660998582865,0.09832000732421875,42.0
0.0,2.0,1.0,12.0,0.92,0.7074523492506035,0.2916886747673769,0.09162521362304688,43.0
0.0,2.0,2.0,24.0,0.86,0.7836364879162966,0.03712088428728933,0.0994415283203125,48.0
0.0,2.0,3.0,36.0,0.9266666666666666,0.8768792247569878,0.0073731006514815055,0.08773422241210938,35.0
0.0,2.0,4.0,48.0,0.7,0.9051889508149497,0.00235631113800601,0.08587265014648438,37.0
0.0,2.0,5.0,60.0,0.74,0.9287096640476961,0.0018168126028616973,0.0894622802734375,47.0
0.0,2.0,6.0,72.0,0.8066666666666666,0.939890253841524,0.002792259084168571,0.09041213989257812,43.0
0.0,2.0,7.0,84.0,0.6133333333333333,0.9466981263195727,0.0012850188165222575,0.09067535400390625,41.0
0.0,2.0,8.0,96.0,0.6866666666666666,0.9495491137800129,0.0017640161712551392,0.08765029907226562,48.0
0.0,3.0,1.0,17.0,0.8933333333333333,0.1804692914842842,0.21494132417846903,0.10045242309570312,36.0
0.0,3.0,2.0,34.0,0.8333333333333334,0.3528826887213977,0.11255467927770374,0.10039520263671875,43.0
0.0,3.0,3.0,51.0,0.8866666666666667,0.4729666619397718,0.08302297699794048,0.09594345092773438,51.0
0.0,3.0,4.0,68.0,0.92,0.5526531838729598,0.0524045273702066,0.10095596313476562,42.0
0.0,3.0,5.0,85.0,0.86,0.6143470962050864,0.02904644797098694,0.09155654907226562,44.0
0.0,3.0,6.0,102.0,0.8333333333333334,0.6561143683351971,0.021770704716476033,0.0978851318359375,44.0
0.0,3.0,7.0,119.0,0.8733333333333333,0.6961403370800398,0.02000941805708046,0.09958267211914062,40.0
0.0,3.0,8.0,136.0,0.84,0.7225400853569789,0.007573270029603479,0.088409423828125,49.0
0.0,4.0,1.0,17.0,0.9,0.3497912861333161,0.1325230635880935,0.0868988037109375,51.0
0.0,4.0,2.0,34.0,0.8666666666666667,0.5141261837991843,0.05394709255215342,0.0922393798828125,44.0
0.0,4.0,3.0,51.0,0.7133333333333334,0.6140581480560724,0.020788456516694486,0.1022796630859375,41.0
0.0,4.0,4.0,68.0,0.8466666666666667,0.6881394828444205,0.009438929019933578,0.08680343627929688,39.0
0.0,4.0,5.0,85.0,0.88,0.7388668302723425,0.010196929253639958,0.09625244140625,47.0
0.0,4.0,6.0,102.0,0.5133333333333333,0.7724174702934404,0.006605383434342946,0.07787704467773438,46.0
0.0,4.0,7.0,119.0,0.8133333333333334,0.8037474033960833,0.0034434404362503586,0.0909271240234375,41.0
0.0,4.0,8.0,136.0,0.7666666666666667,0.8319443825982092,0.0030826373840743848,0.079986572265625,40.0
0.0,5.0,1.0,54.0,0.88,0.3755019258568637,0.05005871602590656,0.0962677001953125,60.0
0.0,5.0,2.0,108.0,0.9,0.7036976420237291,0.006549029315531329,0.09096527099609375,49.0
0.0,5.0,3.0,162.0,0.8733333333333333,0.8453849092280685,0.0022831748512723567,0.09104156494140625,38.0
0.0,5.0,4.0,216.0,0.7533333333333333,0.9071983505449979,0.002233017216680494,0.08875656127929688,41.0
0.0,5.0,5.0,270.0,0.54,0.9347113917064072,0.0017482316417318758,0.11015701293945312,42.0
0.0,5.0,6.0,324.0,0.6066666666666667,0.945538251067105,0.00310263814566902,0.11006546020507812,48.0
0.0,5.0,7.0,378.0,0.5,0.9496836462212861,0.0020286614293042802,0.10023880004882812,43.0
0.0,5.0,8.0,432.0,0.52,0.9508463369525825,0.002419668601593914,0.10763931274414062,55.0
0.0,6.0,1.0,54.0,0.8866666666666667,0.8567372818775202,0.0025117379788540894,0.07851028442382812,45.0
0.0,6.0,2.0,108.0,0.6733333333333333,0.9452416832642244,0.003394989876825462,0.08624267578125,35.0
0.0,6.0,3.0,162.0,0.52,0.9524523217608241,0.003496634064454436,0.1077880859375,42.0
