dataset,circuit_id,layer,num_params,accuracy,entcap,expr,last_cost_avg,num_iter
0.0,1.0,1.0,12.0,0.71875,2.618462226632489e-32,0.36947119270259143,0.0617523193359375,180.0
0.0,1.0,2.0,24.0,0.65625,8.406958842541318e-32,0.33342951389594044,0.038356781005859375,70.0
0.0,1.0,3.0,36.0,0.6875,1.4945928520575203e-31,0.30237234736900775,0.040325164794921875,126.0
0.0,1.0,4.0,48.0,0.65625,2.130187508089144e-31,0.3183571894619297,0.0532073974609375,73.0
0.0,1.0,5.0,60.0,0.640625,2.8263058603346266e-31,0.34351188977965763,0.0169219970703125,88.0
0.0,1.0,6.0,72.0,0.640625,3.4644994390122286e-31,0.26378776143959043,0.08647918701171875,98.0
0.0,1.0,7.0,84.0,0.625,4.1335960124341075e-31,0.2795423951801689,0.08720016479492188,108.0
0.0,1.0,8.0,96.0,0.671875,4.799468782519364e-31,0.3067833995420596,0.030223846435546875,112.0
0.0,2.0,1.0,12.0,0.6875,0.7300140078667398,0.4304008976737461,0.069183349609375,181.0
0.0,2.0,2.0,24.0,0.625,0.7919370387144645,0.0794226105966787,0.037883758544921875,109.0
0.0,2.0,3.0,36.0,0.609375,0.8838924473569967,0.02832834790857828,0.026401519775390625,94.0
0.0,2.0,4.0,48.0,0.5625,0.911032508609545,0.008661980011769842,0.02272796630859375,96.0
0.0,2.0,5.0,60.0,0.375,0.933328946220343,0.006266580719195718,0.01555633544921875,87.0
0.0,2.0,6.0,72.0,0.34375,0.9433174557782132,0.00545728401335495,0.0241851806640625,72.0
0.0,2.0,7.0,84.0,0.34375,0.9487199329975972,0.004774062926586636,0.03047943115234375,78.0
0.0,2.0,8.0,96.0,0.375,0.9515818734358232,0.009440831526879242,0.0263671875,69.0
0.0,3.0,1.0,17.0,0.6875,0.20227066162701607,0.3100844658620082,0.08980560302734375,143.0
0.0,3.0,2.0,34.0,0.671875,0.3696043802324222,0.16048442721585177,0.02620697021484375,107.0
0.0,3.0,3.0,51.0,0.640625,0.48204329020832376,0.09634875183565161,0.020282745361328125,82.0
0.0,3.0,4.0,68.0,0.59375,0.5656516237278522,0.0654110299766544,0.020023345947265625,113.0
0.0,3.0,5.0,85.0,0.609375,0.6259058872235742,0.05734565193191216,0.038425445556640625,73.0
0.0,3.0,6.0,102.0,0.5625,0.6675939074830384,0.03456496946720701,0.031917572021484375,83.0
0.0,3.0,7.0,119.0,0.421875,0.701188860250209,0.04044338988213501,0.03734588623046875,76.0
0.0,3.0,8.0,136.0,0.34375,0.732001304003967,0.04079054152212362,0.023029327392578125,105.0
0.0,4.0,1.0,17.0,0.6875,0.36232725079002337,0.2165291552158433,0.036388397216796875,112.0
0.0,4.0,2.0,34.0,0.671875,0.5254144490144769,0.08869275589206718,0.052684783935546875,133.0
0.0,4.0,3.0,51.0,0.515625,0.6314133853593491,0.06842767072372291,0.020015716552734375,150.0
0.0,4.0,4.0,68.0,0.484375,0.6949812572946482,0.03418383605887028,0.017765045166015625,104.0
0.0,4.0,5.0,85.0,0.515625,0.747411064629191,0.034774225916779436,0.025226593017578125,71.0
0.0,4.0,6.0,102.0,0.34375,0.7842623005976975,0.01841255132230812,0.023464202880859375,90.0
