dataset,circuit_id,layer,num_params,accuracy,entcap,expr,last_cost_avg,num_iter
0.0,1.0,1.0,12.0,0.58984375,2.554593513637465e-32,0.32679273729447456,0.03177022933959961,98.375
0.0,1.0,2.0,24.0,0.57421875,8.282583959629791e-32,0.26149816524345504,0.014877796173095703,56.625
0.0,1.0,3.0,36.0,0.552734375,1.4710569807708966e-31,0.2340711543845576,0.017765045166015625,79.0
0.0,1.0,4.0,48.0,0.560546875,2.1080339982339524e-31,0.23986962126243172,0.020611286163330078,50.125
0.0,1.0,5.0,60.0,0.525390625,2.7898869368228053e-31,0.2461930395650137,0.01267385482788086,59.375
0.0,1.0,6.0,72.0,0.52734375,3.4354933887503832e-31,0.21644215196624406,0.03211498260498047,64.875
0.0,1.0,7.0,84.0,0.462890625,4.089204448261869e-31,0.24215604797951734,0.028201580047607422,73.0
0.0,1.0,8.0,96.0,0.4765625,4.738509671691616e-31,0.2807204199727294,0.017425060272216797,66.375
0.0,2.0,1.0,12.0,0.564453125,0.7207393859449519,0.3203741262458745,0.030083179473876953,103.25
0.0,2.0,2.0,24.0,0.521484375,0.7879252958779597,0.06030426949744854,0.012557506561279297,79.125
0.0,2.0,3.0,36.0,0.453125,0.8807983517053278,0.013094213552154843,0.013414382934570312,64.875
0.0,2.0,4.0,48.0,0.419921875,0.9088698854520079,0.005606620427703594,0.01130533218383789,75.625
0.0,2.0,5.0,60.0,0.34765625,0.9316465869688462,0.004274359310246806,0.010745048522949219,65.0
0.0,2.0,6.0,72.0,0.34375,0.9422660512414919,0.0034411984641926664,0.017755985260009766,56.0
0.0,2.0,7.0,84.0,0.341796875,0.9477789582015022,0.0035608895156941933,0.017032146453857422,59.875
0.0,2.0,8.0,96.0,0.3515625,0.9508795622299995,0.00591113224135449,0.018995285034179688,52.875
0.0,3.0,1.0,17.0,0.640625,0.1890971975534697,0.24245911073378373,0.038777828216552734,80.25
0.0,3.0,2.0,34.0,0.578125,0.3631368400804554,0.1393574940203407,0.018294334411621094,82.125
