dataset,circuit_id,layer,num_params,accuracy,entcap,expr,last_cost_avg,num_iter
0.0,1.0,1.0,12.0,0.609375,2.5555110614304186e-32,0.34073084074536186,0.025072097778320312,86.0
0.0,1.0,2.0,24.0,0.609375,8.263267326673484e-32,0.2608348118011333,0.011999130249023438,57.5
0.0,1.0,3.0,36.0,0.578125,1.4698173030934685e-31,0.22259347795372095,0.014896392822265625,71.0
0.0,1.0,4.0,48.0,0.5625,2.106039033205922e-31,0.22632951965480977,0.012004852294921875,48.5
0.0,1.0,5.0,60.0,0.53125,2.800095061113798e-31,0.23834334342509902,0.012622833251953125,54.0
0.0,1.0,6.0,72.0,0.546875,3.4421374928254484e-31,0.2073266778962458,0.016057968139648438,63.0
0.0,1.0,7.0,84.0,0.46875,4.096072457613672e-31,0.24149565712471496,0.012651443481445312,74.0
0.0,1.0,8.0,96.0,0.4765625,4.732335837343772e-31,0.2850767280968097,0.013319015502929688,67.0
0.0,2.0,1.0,12.0,0.5625,0.7204124334443864,0.29978542725278423,0.030454635620117188,98.0
0.0,2.0,2.0,24.0,0.5390625,0.787269236502631,0.06069504500694646,0.010225296020507812,80.5
0.0,2.0,3.0,36.0,0.453125,0.881724302034398,0.010740457782863913,0.011951446533203125,63.5
0.0,2.0,4.0,48.0,0.3828125,0.9088867001522754,0.005116599353726579,0.010410308837890625,80.0
0.0,2.0,5.0,60.0,0.34375,0.9316163120344128,0.004076764368067063,0.011991500854492188,65.5
0.0,2.0,6.0,72.0,0.34375,0.9421344777673979,0.0034600850595429404,0.019781112670898438,54.0
0.0,2.0,7.0,84.0,0.34375,0.9478305213393208,0.0040155710446268394,0.015203475952148438,60.5
0.0,2.0,8.0,96.0,0.34375,0.9509568587639987,0.005351620993101644,0.018060684204101562,51.0
0.0,3.0,1.0,17.0,0.640625,0.18747815531551648,0.23820493523933323,0.030862808227539062,69.0
0.0,3.0,2.0,34.0,0.609375,0.3631705767638753,0.1355413417211821,0.01757049560546875,83.0
0.0,3.0,3.0,51.0,0.546875,0.47596765153161824,0.0894802531552701,0.010814666748046875,67.5
0.0,3.0,4.0,68.0,0.4453125,0.5615845854030194,0.06000832031599594,0.011144638061523438,65.5
0.0,3.0,5.0,85.0,0.3515625,0.619359784152355,0.03561761374472891,0.0117034912109375,55.0
0.0,3.0,6.0,102.0,0.34375,0.6637349045540433,0.024256374157236166,0.014934539794921875,46.5
0.0,3.0,7.0,119.0,0.3515625,0.6980890109600125,0.028299732970495994,0.013973236083984375,55.0
0.0,3.0,8.0,136.0,0.34375,0.728662860404301,0.022316685600213243,0.014688491821289062,71.0
0.0,4.0,1.0,17.0,0.6015625,0.3517960598694877,0.18021888946410117,0.019680023193359375,75.0
0.0,4.0,2.0,34.0,0.578125,0.523325495019447,0.06015379115638696,0.020490646362304688,71.0
0.0,4.0,3.0,51.0,0.390625,0.6255237325193326,0.03615945684697745,0.010951995849609375,75.0
0.0,4.0,4.0,68.0,0.375,0.6932623461468863,0.022663814468405336,0.01065826416015625,71.5
0.0,4.0,5.0,85.0,0.34375,0.7405563552813712,0.013803687030417481,0.012090682983398438,61.5
0.0,4.0,6.0,102.0,0.34375,0.778287988621668,0.008200696831881826,0.013380050659179688,58.5
0.0,4.0,7.0,119.0,0.34375,0.8093464704996374,0.007538461293708007,0.0267791748046875,50.0
0.0,4.0,8.0,136.0,0.34375,0.832132211013399,0.006666893158533361,0.020793914794921875,53.0
0.0,5.0,1.0,54.0,0.4296875,0.3808628467978939,0.08859188224324893,0.011919021606445312,70.0
0.0,5.0,2.0,108.0,0.375,0.7074359338695422,0.010648000077033096,0.02175140380859375,61.5
0.0,5.0,3.0,162.0,0.34375,0.8518220819349824,0.0034055349610167323,0.02265167236328125,54.5
0.0,5.0,4.0,216.0,0.34375,0.9104248982717034,0.0034410003777570063,0.017242431640625,55.0
0.0,5.0,5.0,270.0,0.34375,0.9355041709097698,0.003707547867968306,0.020723342895507812,65.5
0.0,5.0,6.0,324.0,0.34375,0.9464545089703484,0.004374151710997001,0.0204620361328125,61.5
0.0,5.0,7.0,378.0,0.359375,0.9505779378965133,0.0035211139539651735,0.019483566284179688,82.5
0.0,5.0,8.0,432.0,0.546875,0.9520557943656786,0.004597618050894944,0.024572372436523438,76.5
0.0,6.0,1.0,54.0,0.34375,0.8625732194398705,0.004889480492936627,0.010669708251953125,68.0
0.0,6.0,2.0,108.0,0.34375,0.9461934637236635,0.004792472900236623,0.022846221923828125,46.5
0.0,6.0,3.0,162.0,0.34375,0.9532212872831863,0.004061635874279694,0.017181396484375,53.0
0.0,6.0,4.0,216.0,0.4140625,0.9535249062264228,0.00356648593599666,0.020940780639648438,56.0
0.0,6.0,5.0,270.0,0.3515625,0.9539731256735692,0.003453767894356567,0.017498016357421875,64.0
0.0,6.0,6.0,324.0,0.4140625,0.9535434591677192,0.004248563789870154,0.019983291625976562,69.5
0.0,6.0,7.0,378.0,0.34375,0.9539500207355842,0.004053728711129416,0.0153656005859375,79.5
0.0,6.0,8.0,432.0,0.3828125,0.9541830067329098,0.0030664437995264505,0.023435592651367188,76.5
0.0,7.0,1.0,29.0,0.6328125,0.24484262818351604,0.16982469343641093,0.015899658203125,84.5
0.0,7.0,2.0,58.0,0.453125,0.44155638226942906,0.090792939528961,0.008935928344726562,75.5
0.0,7.0,3.0,87.0,0.40625,0.5556113256955408,0.06212625202303407,0.013952255249023438,59.5
0.0,7.0,4.0,116.0,0.3515625,0.634063011309302,0.038732693282274154,0.011224746704101562,65.5
0.0,7.0,5.0,145.0,0.34375,0.6900228560724322,0.024665082493641147,0.011444091796875,74.0
0.0,7.0,6.0,174.0,0.34375,0.7303274695916424,0.01712181465599153,0.018833160400390625,57.0
0.0,7.0,7.0,203.0,0.34375,0.7614705070263845,0.012230531416856157,0.0188140869140625,59.5
0.0,7.0,8.0,232.0,0.34375,0.7891907564218699,0.012152594707007589,0.015033721923828125,78.0
0.0,8.0,1.0,29.0,0.5234375,0.3234876613484101,0.13965187500737286,0.011877059936523438,80.0
0.0,8.0,2.0,58.0,0.40625,0.518100697662477,0.07097983224019565,0.01006317138671875,59.5
0.0,8.0,3.0,87.0,0.3515625,0.6253133607904132,0.0416535432052718,0.01346588134765625,70.5
0.0,8.0,4.0,116.0,0.34375,0.6935205310147718,0.02837403995405602,0.020313262939453125,56.0
0.0,8.0,5.0,145.0,0.34375,0.7454094147297967,0.013258136360827535,0.017791748046875,63.5
0.0,8.0,6.0,174.0,0.34375,0.7834413676590264,0.012362945522545982,0.013975143432617188,65.0
0.0,8.0,7.0,203.0,0.34375,0.8122980631802175,0.005594681741044585,0.017881393432617188,66.5
0.0,8.0,8.0,232.0,0.34375,0.8388707414731718,0.00791863062381369,0.02095794677734375,65.5
0.0,9.0,1.0,6.0,0.609375,0.9999999999999999,0.6994580101245989,0.017217636108398438,53.0
0.0,9.0,2.0,12.0,0.6015625,0.9999999999999997,0.11475348656988943,0.011932373046875,71.5
0.0,9.0,3.0,18.0,0.546875,0.9999999999999994,0.030748557014752168,0.013284683227539062,53.5
0.0,9.0,4.0,24.0,0.3984375,0.9881033450499971,0.006796877484603805,0.012493133544921875,47.5
