dataset,circuit_id,layer,num_params,accuracy,entcap,expr,last_cost_avg,num_iter
0.0,1.0,1.0,12.0,0.46875,2.4913537135304755e-32,0.27385461642177733,0.00724029541015625,59.0
0.0,1.0,2.0,24.0,0.421875,8.163619439530255e-32,0.21362685350565225,0.00299072265625,44.0
0.0,1.0,3.0,36.0,0.359375,1.440640731112003e-31,0.19522530952435044,0.0043487548828125,57.0
0.0,1.0,4.0,48.0,0.46875,2.088070331038285e-31,0.21528305360355107,0.00910186767578125,41.0
0.0,1.0,5.0,60.0,0.4375,2.7508490559928496e-31,0.1968215643610637,0.008258819580078125,41.0
0.0,1.0,6.0,72.0,0.3125,3.377547607009688e-31,0.19094067848160237,0.003246307373046875,48.0
0.0,1.0,7.0,84.0,0.3125,4.0454684519965344e-31,0.20087404937589493,0.0067596435546875,44.0
0.0,1.0,8.0,96.0,0.28125,4.6909373713553036e-31,0.23330321794099904,0.009517669677734375,39.0
0.0,2.0,1.0,12.0,0.40625,0.7138476609497206,0.2644805037760271,0.00629425048828125,52.0
0.0,2.0,2.0,24.0,0.390625,0.7827128507138563,0.03420257122181898,0.00359344482421875,42.0
0.0,2.0,3.0,36.0,0.328125,0.8771079932035628,0.006622714302226072,0.00420379638671875,41.0
0.0,2.0,4.0,48.0,0.34375,0.906054398538764,0.00257423254766732,0.0040283203125,55.0
0.0,2.0,5.0,60.0,0.34375,0.9297983025013238,0.002612245248272479,0.005580902099609375,41.0
0.0,2.0,6.0,72.0,0.34375,0.9413954376124796,0.001430128699145424,0.01184844970703125,40.0
0.0,2.0,7.0,84.0,0.328125,0.9467924443286391,0.001399003797587972,0.005863189697265625,38.0
0.0,2.0,8.0,96.0,0.34375,0.9500252822660656,0.0030390426915512516,0.01148223876953125,41.0
0.0,3.0,1.0,17.0,0.5625,0.18294401171939847,0.1845803997045606,0.010074615478515625,44.0
0.0,3.0,2.0,34.0,0.4375,0.3564815790319046,0.12324007094758109,0.01235198974609375,45.0
0.0,3.0,3.0,51.0,0.359375,0.4729514059859191,0.07136657825994713,0.0076446533203125,53.0
0.0,3.0,4.0,68.0,0.296875,0.5585458153146904,0.050417407744566475,0.0034637451171875,45.0
0.0,3.0,5.0,85.0,0.28125,0.616227392239774,0.02516802876891952,0.008453369140625,38.0
0.0,3.0,6.0,102.0,0.328125,0.6596745216255084,0.017586874720276837,0.011837005615234375,36.0
0.0,3.0,7.0,119.0,0.296875,0.6896862732733491,0.01964076066369528,0.010883331298828125,40.0
0.0,3.0,8.0,136.0,0.34375,0.7253028012577116,0.011411634129238497,0.005096435546875,50.0
0.0,4.0,1.0,17.0,0.4375,0.34826333055971614,0.12728083187939948,0.01448822021484375,48.0
0.0,4.0,2.0,34.0,0.484375,0.516589014078248,0.050089923814474184,0.0034942626953125,58.0
0.0,4.0,3.0,51.0,0.34375,0.6208027410636747,0.027741441612522576,0.003314971923828125,62.0
0.0,4.0,4.0,68.0,0.34375,0.6855422495668353,0.00951196264242712,0.005512237548828125,38.0
0.0,4.0,5.0,85.0,0.34375,0.7374900475705205,0.011422905465236183,0.010967254638671875,40.0
0.0,4.0,6.0,102.0,0.296875,0.7747015430005946,0.005414506438164027,0.00420379638671875,42.0
0.0,4.0,7.0,119.0,0.34375,0.8046961116584871,0.001624524212707886,0.011516571044921875,38.0
0.0,4.0,8.0,136.0,0.34375,0.8290787535161797,0.0037676599805840276,0.0042724609375,43.0
0.0,5.0,1.0,54.0,0.34375,0.37307872388840246,0.05618921743397201,0.002933502197265625,50.0
0.0,5.0,2.0,108.0,0.34375,0.7040317340670368,0.006629413253149349,0.01377105712890625,42.0
0.0,5.0,3.0,162.0,0.34375,0.8481083999558159,0.0015249387895597162,0.0049591064453125,48.0
0.0,5.0,4.0,216.0,0.34375,0.9080545491285582,0.001412917495269414,0.007549285888671875,41.0
0.0,5.0,5.0,270.0,0.328125,0.9343204712260499,0.0020410789725641945,0.000537872314453125,53.0
0.0,5.0,6.0,324.0,0.34375,0.9443135890192849,0.0014040494509286673,0.012523651123046875,48.0
0.0,5.0,7.0,378.0,0.328125,0.9496797053787848,0.001150514529483681,0.004878997802734375,64.0
0.0,5.0,8.0,432.0,0.34375,0.9515596546450383,0.0017118972678883708,0.01458740234375,64.0
0.0,6.0,1.0,54.0,0.34375,0.8590474932437615,0.0033753186575763818,0.0070037841796875,41.0
0.0,6.0,2.0,108.0,0.328125,0.9458739436655745,0.003054203260975439,0.01090240478515625,37.0
0.0,6.0,3.0,162.0,0.34375,0.9524539437108238,0.001698539804200312,0.00814056396484375,48.0
0.0,6.0,4.0,216.0,0.3125,0.9531027071887282,0.0010979967277797665,0.013851165771484375,47.0
0.0,6.0,5.0,270.0,0.34375,0.9534942176424988,0.002195174895491778,0.006931304931640625,48.0
0.0,6.0,6.0,324.0,0.34375,0.9531793740713894,0.002030472118889458,0.014713287353515625,65.0
0.0,6.0,7.0,378.0,0.34375,0.9531563312459218,0.0017784589503394921,0.00786590576171875,63.0
0.0,6.0,8.0,432.0,0.34375,0.953589427364718,0.0017326385783578216,0.0118408203125,59.0
0.0,7.0,1.0,29.0,0.421875,0.2404306729246353,0.12662568704720084,0.007183074951171875,50.0
0.0,7.0,2.0,58.0,0.359375,0.43322053274203703,0.06470963548324601,0.00473785400390625,46.0
0.0,7.0,3.0,87.0,0.34375,0.5482343463450775,0.031828351785834444,0.00257110595703125,39.0
0.0,7.0,4.0,116.0,0.328125,0.6295441946900524,0.035390072237580034,0.005603790283203125,55.0
0.0,7.0,5.0,145.0,0.34375,0.685897538140089,0.016654231360616202,0.003948211669921875,45.0
0.0,7.0,6.0,174.0,0.34375,0.7191775952418864,0.00900717702572004,0.012706756591796875,42.0
0.0,7.0,7.0,203.0,0.34375,0.7577428164635783,0.007514602872607235,0.0143280029296875,44.0
0.0,7.0,8.0,232.0,0.328125,0.7867557313117117,0.008912914506068695,0.009479522705078125,52.0
0.0,8.0,1.0,29.0,0.453125,0.30828375258915014,0.10528902760701608,0.00719451904296875,43.0
0.0,8.0,2.0,58.0,0.34375,0.5110425752116757,0.03159041934548172,0.00862884521484375,38.0
0.0,8.0,3.0,87.0,0.34375,0.6190489184189598,0.03297041051827937,0.005157470703125,50.0
0.0,8.0,4.0,116.0,0.328125,0.6882365373034288,0.02124868999928609,0.0062713623046875,42.0
0.0,8.0,5.0,145.0,0.3125,0.7365359283075632,0.0024727330716180305,0.00641632080078125,44.0
0.0,8.0,6.0,174.0,0.328125,0.7799988916348217,0.0027387349991493835,0.008930206298828125,48.0
0.0,8.0,7.0,203.0,0.34375,0.8088278056907364,0.0036780609076583976,0.008693695068359375,49.0
0.0,8.0,8.0,232.0,0.34375,0.8354294042347702,0.002234406072861536,0.00506591796875,50.0
0.0,9.0,1.0,6.0,0.515625,0.9999999999999999,0.5165862180420433,0.0113525390625,39.0
0.0,9.0,2.0,12.0,0.34375,0.9999999999999997,0.06428392655805065,0.00565338134765625,39.0
0.0,9.0,3.0,18.0,0.421875,0.9999999999999994,0.01124515480234492,0.00710296630859375,39.0
0.0,9.0,4.0,24.0,0.328125,0.9875905870730715,0.002401113861314327,0.008609771728515625,35.0
0.0,9.0,5.0,30.0,0.34375,0.9779603551276579,0.00376894681185257,0.001697540283203125,42.0
0.0,9.0,6.0,36.0,0.34375,0.9257258323224745,0.0026454203765024532,0.0059051513671875,41.0
0.0,9.0,7.0,42.0,0.3125,0.9341135220372182,0.002661534122486829,0.00586700439453125,42.0
0.0,9.0,8.0,48.0,0.34375,0.9498142184232072,0.0028710376329804197,0.006885528564453125,42.0
0.0,10.0,1.0,12.0,0.53125,0.3703264461727751,0.2135995668850833,0.0065765380859375,54.0
0.0,10.0,2.0,18.0,0.359375,0.5652266051665503,0.1456175582433946,0.0040283203125,48.0
0.0,10.0,3.0,24.0,0.328125,0.6916268488361373,0.07973103785980513,0.007568359375,40.0
0.0,10.0,4.0,30.0,0.265625,0.7638239114420531,0.07376040359660652,0.0074310302734375,60.0
