dataset,circuit_id,layer,num_params,expr,entcap,num_iter,last_cost_avg,accuracy
0,1,1,12,0.2794754513137767,2.5811553636200147e-32,77,0.00724029541015625,0.46875
0,1,2,24,0.21362685350565225,8.272051536379668e-32,70,0.00299072265625,0.53125
0,1,3,36,0.22113456799192188,1.4767778429543423e-31,68,0.0043487548828125,0.5625
0,1,4,48,0.2166739624374074,2.130187508089144e-31,50,0.00910186767578125,0.5625
0,1,5,60,0.2491458606851778,2.796037801707578e-31,50,0.008258819580078125,0.640625
0,1,6,72,0.2174588228906397,3.454644412780112e-31,98,0.003246307373046875,0.53125
0,1,7,84,0.26174734014813184,4.047379620589445e-31,85,0.0067596435546875,0.46875
0,1,8,96,0.2654660923466783,4.728729465482434e-31,82,0.009517669677734375,0.328125
0,2,1,12,0.29637161505213705,0.7140684856338828,63,0.00629425048828125,0.40625
0,2,2,24,0.03420257122181898,0.7919370387144645,73,0.00359344482421875,0.4375
0,2,3,36,0.0075846513874055985,0.8782217045294719,94,0.00420379638671875,0.5625
0,2,4,48,0.00387335172964404,0.9075835647858155,85,0.0040283203125,0.359375
0,2,5,60,0.003196103800871986,0.9312334108437633,87,0.005580902099609375,0.34375
0,2,6,72,0.003095534198185288,0.9433174557782132,72,0.01184844970703125,0.34375
0,2,7,84,0.00423229870354732,0.9468489679990774,71,0.005863189697265625,0.34375
0,2,8,96,0.004077100266405875,0.951207935240283,64,0.01148223876953125,0.359375
0,3,1,17,0.25975877813486925,0.1843547328395199,72,0.010074615478515625,0.6875
0,3,2,34,0.13724785931810735,0.36119746972647504,84,0.01235198974609375,0.484375
0,3,3,51,0.07203568266434625,0.47333335048606234,82,0.0076446533203125,0.4375
0,3,4,68,0.06481402331560578,0.5626733226818333,113,0.0034637451171875,0.40625
0,3,5,85,0.053012034321559376,0.6204704663283529,54,0.008453369140625,0.34375
0,3,6,102,0.03456496946720701,0.6654017022283361,83,0.011837005615234375,0.375
0,3,7,119,0.023596292933444486,0.6995044885109181,57,0.010883331298828125,0.296875
0,3,8,136,0.022918208498428842,0.7281607687845181,105,0.005096435546875,0.34375
0,4,1,17,0.18489055608273436,0.354512994662924,76,0.01448822021484375,0.5625
0,4,2,34,0.07815785319928636,0.5241610600146808,75,0.0034942626953125,0.484375
0,4,3,51,0.03152384018694741,0.6261949723149453,150,0.003314971923828125,0.421875
0,4,4,68,0.02508532580108684,0.686797862660001,104,0.005512237548828125,0.34375
0,4,5,85,0.012628515941023849,0.7446277848123892,71,0.010967254638671875,0.390625
0,4,6,102,0.007933250213373922,0.7747015430005946,90,0.00420379638671875,0.296875
0,4,7,119,0.003192048466146377,0.8107119768065962,89,0.011516571044921875,0.34375
0,4,8,136,0.0037967606949575296,0.8290787535161797,98,0.0042724609375,0.359375
0,5,1,54,0.08950910538948897,0.3811555639186669,89,0.002933502197265625,0.34375
0,5,2,108,0.010478204852509884,0.706555254457943,75,0.01377105712890625,0.34375
0,5,3,162,0.0029236445621197257,0.8521628621422757,112,0.0049591064453125,0.34375
0,5,4,216,0.003217897022133857,0.9139918405264658,59,0.007549285888671875,0.34375
0,5,5,270,0.003607609895912925,0.9366075594491455,106,0.000537872314453125,0.328125
0,5,6,324,0.0014040494509286673,0.9443135890192849,77,0.012523651123046875,0.34375
