dataset,circuit_id,layer,num_params,accuracy,entcap,expr,last_cost_avg,num_iter
0.0,1.0,1.0,12.0,0.9866666666666667,2.611846760753177e-32,0.40746881580388955,0.19690029107445955,1024.0
0.0,1.0,2.0,24.0,0.9866666666666667,8.418193537290403e-32,0.2799582398442544,0.15710446016319157,1024.0
0.0,1.0,3.0,36.0,0.9866666666666667,1.4805287560267197e-31,0.2829144769095723,0.16556051732708255,1024.0
0.0,1.0,4.0,48.0,0.9866666666666667,2.128690850650057e-31,0.32973458707347436,0.15059383017046812,1024.0
0.0,1.0,5.0,60.0,0.9866666666666667,2.7886907572630195e-31,0.3135081557447998,0.15068041944679308,1024.0
0.0,1.0,6.0,72.0,0.98,3.4979525985318647e-31,0.3293617460321796,0.15072365305189064,1024.0
0.0,1.0,7.0,84.0,0.9866666666666667,4.130914898770427e-31,0.3762217793100127,0.15633140507943755,1024.0
0.0,1.0,8.0,96.0,0.9866666666666667,4.8058954859105156e-31,0.32234989858946195,0.15050089563815086,1024.0
0.0,2.0,1.0,12.0,0.9933333333333333,0.7296425403465832,0.3910078266295124,0.16694747328362267,1024.0
0.0,2.0,2.0,24.0,0.9933333333333333,0.7910324783255124,0.0793841165201209,0.1693798898097657,1024.0
0.0,2.0,3.0,36.0,0.9933333333333333,0.8842674066024994,0.020417874088332344,0.12824113064216264,1024.0
0.0,2.0,4.0,48.0,0.9933333333333333,0.9102646130589092,0.008463316931530986,0.12103619622494634,1024.0
0.0,2.0,5.0,60.0,0.9933333333333333,0.9331441405841164,0.008434300786401353,0.11489909105480783,1024.0
0.0,2.0,6.0,72.0,0.9933333333333333,0.9437001292868209,0.006858055813225808,0.11191483276553824,1024.0
0.0,2.0,7.0,84.0,0.9933333333333333,0.9489499936133455,0.006520276688679379,0.11539620394422476,1024.0
0.0,2.0,8.0,96.0,0.9933333333333333,0.9518933444481312,0.008135305228972807,0.11156111984517014,1024.0
0.0,3.0,1.0,17.0,0.9866666666666667,0.1944848935386115,0.40778611927086905,0.18991999723590686,1024.0
0.0,3.0,2.0,34.0,0.9933333333333333,0.36427629300989306,0.20747319947215315,0.14896771008571735,1024.0
0.0,3.0,3.0,51.0,0.9933333333333333,0.4869192296312436,0.12844164978819658,0.14258928017872802,1024.0
0.0,3.0,4.0,68.0,0.9933333333333333,0.5621119860320256,0.08470536325085178,0.1287078185383096,1024.0
0.0,3.0,5.0,85.0,0.9933333333333333,0.6269154974347508,0.06099122909436721,0.1288006638362445,1024.0
0.0,3.0,6.0,102.0,0.9866666666666667,0.6663406551268827,0.062321358184545844,0.12164939805375567,1024.0
0.0,3.0,7.0,119.0,0.9933333333333333,0.7039103621027076,0.03271472055371466,0.13326416685074013,1024.0
