dataset,circuit_id,layer,num_params,accuracy,entcap,expr,last_cost_avg,num_iter
0.0,1.0,1.0,12.0,0.9333333333333333,2.5464530459580014e-32,0.3338565704178158,0.1621825449338152,1024.0
0.0,1.0,2.0,24.0,0.9666666666666667,8.341599711550061e-32,0.18692970223076172,0.15048121267179304,1024.0
0.0,1.0,3.0,36.0,0.9666666666666667,1.4767995724685776e-31,0.25718785042377706,0.15064142918046441,1024.0
0.0,1.0,4.0,48.0,0.98,2.1156554652519638e-31,0.32973458707347436,0.14044235271803784,1024.0
0.0,1.0,5.0,60.0,0.9866666666666667,2.7479624897006104e-31,0.20890596881783235,0.14340463631387732,1024.0
0.0,1.0,6.0,72.0,0.98,3.4469601639430966e-31,0.2772658884830519,0.14047449319246688,1024.0
0.0,1.0,7.0,84.0,0.9666666666666667,4.067957032008534e-31,0.30200017901271337,0.1505533909747799,1024.0
0.0,1.0,8.0,96.0,0.98,4.647750351732495e-31,0.32234989858946195,0.14043303048019176,1024.0
0.0,1.0,9.0,108.0,0.98,-1.0,-1.0,0.1405334245010616,1024.0
0.0,1.0,10.0,120.0,0.98,-1.0,-1.0,0.1404297380723094,1024.0
0.0,1.0,11.0,132.0,0.98,-1.0,-1.0,0.1403439821921983,1024.0
0.0,1.0,12.0,144.0,0.98,-1.0,-1.0,0.1405570169532151,1024.0
0.0,1.0,13.0,156.0,0.9666666666666667,-1.0,-1.0,0.1503478459949043,1024.0
0.0,1.0,14.0,168.0,0.98,-1.0,-1.0,0.14047519469879738,1024.0
0.0,1.0,15.0,180.0,0.98,-1.0,-1.0,0.14043013368316,1024.0
0.0,1.0,16.0,192.0,0.98,-1.0,-1.0,0.14037665447414222,1024.0
0.0,2.0,1.0,12.0,0.9933333333333333,0.7296425403465832,0.3338565704178158,0.136505716336782,1024.0
0.0,2.0,2.0,24.0,0.9933333333333333,0.7859527546311281,0.05304720038664269,0.13193180405832658,1024.0
0.0,2.0,3.0,36.0,0.9933333333333333,0.8787435633741559,0.013787137714608667,0.11903512304355819,1024.0
0.0,2.0,4.0,48.0,0.98,0.9086663577913863,0.0076375757140279485,0.10692561678464421,1024.0
0.0,2.0,5.0,60.0,0.9933333333333333,0.9331441405841164,0.003687822104265404,0.11266236475795921,1024.0
0.0,2.0,6.0,72.0,0.9933333333333333,0.942125343702825,0.003911550872504729,0.11109139458716724,1024.0
0.0,2.0,7.0,84.0,0.9866666666666667,0.9470815919103484,0.004831195427772515,0.10625925097645031,1024.0
0.0,2.0,8.0,96.0,0.98,0.9500889041981874,0.0034926824472331086,0.09640026046923295,1024.0
0.0,2.0,9.0,108.0,0.98,-1.0,-1.0,0.10469044087079803,1024.0
0.0,2.0,10.0,120.0,0.98,-1.0,-1.0,0.09731318287576268,1024.0
0.0,2.0,11.0,132.0,0.9933333333333333,-1.0,-1.0,0.1002138837248952,1024.0
0.0,2.0,12.0,144.0,0.98,-1.0,-1.0,0.09360299423580021,1024.0
0.0,2.0,13.0,156.0,0.98,-1.0,-1.0,0.09557124123012625,1024.0
0.0,2.0,14.0,168.0,0.98,-1.0,-1.0,0.09494253180849066,1024.0
0.0,2.0,15.0,180.0,0.9866666666666667,-1.0,-1.0,0.09707921330308757,1024.0
0.0,2.0,16.0,192.0,0.9733333333333334,-1.0,-1.0,0.09250201039290469,1024.0
0.0,3.0,1.0,17.0,0.9733333333333334,0.18162719821117793,0.40778611927086905,0.1561268903191703,1024.0
0.0,3.0,2.0,34.0,0.9933333333333333,0.3602604242060534,0.13526472815126594,0.12808094264128475,1024.0
0.0,3.0,3.0,51.0,0.9866666666666667,0.4773277877187292,0.1112721655541154,0.14258928017872802,1024.0
0.0,3.0,4.0,68.0,0.9866666666666667,0.5594215369937919,0.07034902256770445,0.11306260363977758,1024.0
0.0,3.0,5.0,85.0,0.9866666666666667,0.6216328304568344,0.04629425012026029,0.1148379148487553,1024.0
0.0,3.0,6.0,102.0,0.9866666666666667,0.6663406551268827,0.034707132952972494,0.11278821821655738,1024.0
0.0,3.0,7.0,119.0,0.9866666666666667,0.7005572039986244,0.017362187905045585,0.10743377194416845,1024.0
0.0,3.0,8.0,136.0,0.9866666666666667,0.7271202234911909,0.01236028500607105,0.11145316661621775,1024.0
0.0,3.0,9.0,153.0,0.98,-1.0,-1.0,0.1066594132835827,1024.0
0.0,3.0,10.0,170.0,0.98,-1.0,-1.0,0.10028531231955197,1024.0
0.0,3.0,11.0,187.0,0.98,-1.0,-1.0,0.09905782160733154,1024.0
0.0,3.0,12.0,204.0,0.9866666666666667,-1.0,-1.0,0.1027322667735161,1024.0
0.0,3.0,13.0,221.0,0.9866666666666667,-1.0,-1.0,0.1097681320020781,1024.0
0.0,3.0,14.0,238.0,0.98,-1.0,-1.0,0.10171756381315587,1024.0
0.0,3.0,15.0,255.0,0.98,-1.0,-1.0,0.09991413630224849,1024.0
0.0,3.0,16.0,272.0,0.9866666666666667,-1.0,-1.0,0.10181952169080664,1024.0
0.0,4.0,1.0,17.0,0.98,0.35813715626819853,0.12596108226082864,0.1315837076302418,1024.0
0.0,4.0,2.0,34.0,0.9866666666666667,0.5155280339242094,0.058936332669416835,0.11692751699326463,1024.0
0.0,4.0,3.0,51.0,0.9866666666666667,0.6203155574602155,0.04680518618738181,0.13157318142358973,1024.0
0.0,4.0,4.0,68.0,0.98,0.6893456669054326,0.014665888765274226,0.10775878723471988,1024.0
0.0,4.0,5.0,85.0,0.98,0.7427860386899132,0.024136163864106632,0.1063346997867874,1024.0
0.0,4.0,6.0,102.0,0.9866666666666667,0.7802659063314118,0.01129723206534808,0.10784430522589827,1024.0
0.0,4.0,7.0,119.0,0.98,0.8086895418641579,0.006309166788891624,0.10307177572742249,1024.0
0.0,4.0,8.0,136.0,0.9866666666666667,0.8354736949976531,0.00694229654591842,0.10360653093480035,1024.0
0.0,4.0,9.0,153.0,0.98,-1.0,-1.0,0.10039640051303286,1024.0
0.0,4.0,10.0,170.0,0.98,-1.0,-1.0,0.09825172242547806,1024.0
0.0,4.0,11.0,187.0,0.9933333333333333,-1.0,-1.0,0.10049447677348688,1024.0
0.0,4.0,12.0,204.0,0.98,-1.0,-1.0,0.09640162460996382,1024.0
0.0,4.0,13.0,221.0,0.98,-1.0,-1.0,0.10235411449844471,1024.0
0.0,4.0,14.0,238.0,0.98,-1.0,-1.0,0.09900835088044477,1024.0
0.0,4.0,15.0,255.0,0.98,-1.0,-1.0,0.0975299180932927,1024.0
0.0,4.0,16.0,272.0,0.9866666666666667,-1.0,-1.0,0.09975092057065106,1024.0
0.0,5.0,1.0,54.0,0.9866666666666667,0.3810044258366771,0.04172627596752968,0.14202917994458186,1024.0
0.0,5.0,2.0,108.0,0.9933333333333333,0.7065654589869363,0.010140010424496321,0.11427691657182923,1024.0
0.0,5.0,3.0,162.0,0.9933333333333333,0.8501819273151507,0.005927000067819029,0.10912870086738394,1024.0
0.0,5.0,4.0,216.0,0.98,0.9094874321896882,0.00402167218317611,0.09733554708344135,1024.0
0.0,5.0,5.0,270.0,0.9866666666666667,0.9351619194760101,0.003132499514200481,0.10062058380475777,1024.0
0.0,5.0,6.0,324.0,0.98,0.9461918737809419,0.002478954023686186,0.09670958655495814,1024.0
0.0,5.0,7.0,378.0,0.98,0.949847134022718,0.0025189031412784567,0.09461526031721276,1024.0
0.0,5.0,8.0,432.0,0.98,0.9535289356464645,0.00238750725705415,0.094100689458685,1024.0
0.0,5.0,9.0,486.0,0.98,-1.0,-1.0,0.09495814985180157,1024.0
0.0,5.0,10.0,540.0,0.98,-1.0,-1.0,0.09630421317436816,1024.0
0.0,5.0,11.0,594.0,0.98,-1.0,-1.0,0.09510669168234333,1024.0
0.0,5.0,12.0,648.0,0.98,-1.0,-1.0,0.09479434222552058,1024.0
0.0,5.0,13.0,702.0,0.98,-1.0,-1.0,0.09518633913505614,1024.0
0.0,5.0,14.0,756.0,0.98,-1.0,-1.0,0.09652746260904882,1024.0
0.0,5.0,15.0,810.0,0.98,-1.0,-1.0,0.09579788697179473,1024.0
0.0,5.0,16.0,864.0,0.98,-1.0,-1.0,0.09748269529488962,1024.0
0.0,6.0,1.0,54.0,0.9933333333333333,0.86663673928349,0.005307872906348978,0.11242686116905153,1024.0
0.0,6.0,2.0,108.0,0.98,0.947259594997053,0.0024595438829783873,0.09901205554413599,1024.0
0.0,6.0,3.0,162.0,0.9933333333333333,0.9535393547373683,0.0017308299501209439,0.1073797995914087,1024.0
0.0,6.0,4.0,216.0,0.98,0.9544201879179615,0.0017151037131588227,0.09628580086036315,1024.0
0.0,6.0,5.0,270.0,0.98,0.9530243648575119,0.006604064392297387,0.09541719619539901,1024.0
0.0,6.0,6.0,324.0,0.98,0.9537842610582112,0.0019126978442257833,0.09460195108506156,1024.0
0.0,6.0,7.0,378.0,0.98,0.9534352070717014,0.004175736021764536,0.09155882816756793,1024.0
0.0,6.0,8.0,432.0,0.98,0.9526265486944305,0.004595126151128223,0.09095440837438243,1024.0
0.0,6.0,9.0,486.0,0.98,-1.0,-1.0,0.09419001153182191,1024.0
0.0,6.0,10.0,540.0,0.98,-1.0,-1.0,0.09268829163024432,1024.0
0.0,6.0,11.0,594.0,0.98,-1.0,-1.0,0.09244749588239884,1024.0
0.0,6.0,12.0,648.0,0.98,-1.0,-1.0,0.0957622105403166,1024.0
0.0,6.0,13.0,702.0,0.98,-1.0,-1.0,0.09266950864114354,1024.0
0.0,6.0,14.0,756.0,0.9866666666666667,-1.0,-1.0,0.09446621398726444,1024.0
0.0,6.0,15.0,810.0,0.98,-1.0,-1.0,0.09557471505651774,1024.0
