v,m,t
"[2.12047317e-08 8.62525394e-05 7.66211183e-05 6.32883726e-06
 8.80583721e-06 1.17467455e-04 1.64849916e-06 1.72254843e-05
 5.90993837e-04 1.49932504e-07 1.75895255e-06 1.23720942e-04
 5.29670678e-05 1.16568454e-04 4.00908515e-04 2.28730245e-05
 2.41597943e-06 7.62623836e-05 4.14536386e-05 4.53691494e-05
 3.71992499e-05 1.51247883e-05 1.63364495e-04 1.33822454e-06
 6.53855931e-05 1.93169632e-04 2.64173703e-04 7.04486343e-06
 1.06421313e-04 2.71470783e-04]","[-0.00014562  0.00928722 -0.00875335  0.00251572  0.00296746  0.01083824
 -0.00128394  0.00415036  0.02431036 -0.00038721 -0.00132626  0.01112299
 -0.00727785  0.01079669  0.0200227   0.00478258  0.00155434  0.00873283
  0.00643845 -0.00673566 -0.00609912  0.00388906 -0.01278141  0.00115682
 -0.00808614 -0.01389855  0.01625342 -0.00265422  0.01031607  0.01647637]",1
"[4.23478241e-08 1.69395508e-04 1.50070433e-04 1.25645979e-05
 1.71239739e-05 2.31494219e-04 3.18035498e-06 3.39583752e-05
 1.16211923e-03 3.23882494e-07 3.56560732e-06 2.45239299e-04
 1.04265599e-04 2.28858758e-04 7.89236553e-04 4.48140283e-05
 4.94648594e-06 1.50722261e-04 8.22716004e-05 8.90603061e-05
 7.29550657e-05 3.02370904e-05 3.22664246e-04 2.66148073e-06
 1.29205768e-04 3.79938921e-04 5.18975099e-04 1.36664844e-05
 2.09961869e-04 5.34459115e-04]","[-0.00027719  0.01752395 -0.01649286  0.00477394  0.00557006  0.02048761
 -0.00239987  0.00784691  0.04590089 -0.00076736 -0.00254428  0.0210902
 -0.01374924  0.02036859  0.03782793  0.00901279  0.00299724  0.01653264
  0.01221586 -0.01270626 -0.01149985  0.00740701 -0.02418922  0.00219727
 -0.01530709 -0.02624554  0.03067311 -0.0049757   0.01951211  0.03112913]",2
"[6.34176854e-08 2.49487169e-04 2.20428145e-04 1.87047504e-05
 2.49700245e-05 3.42125502e-04 4.60128572e-06 5.02035891e-05
 1.71376595e-03 5.22563645e-07 5.41926614e-06 3.64545064e-04
 1.53916516e-04 3.36958893e-04 1.16520158e-03 6.58398744e-05
 7.59194721e-06 2.23392860e-04 1.22441262e-04 1.31107529e-04
 1.07296738e-04 4.53311138e-05 4.77925198e-04 3.96881565e-06
 1.91477305e-04 5.60419567e-04 7.64596344e-04 1.98800469e-05
 3.10663048e-04 7.89117857e-04]","[-0.00039608  0.0248151  -0.02332051  0.0067997   0.00784454  0.02906646
 -0.00336518  0.01113466  0.06504407 -0.00113998 -0.00366437  0.03001559
 -0.01949426  0.02883834  0.05363742  0.01274552  0.00433914  0.02349203
  0.0173968  -0.01798833 -0.01627196  0.01059014 -0.03435949  0.00313251
 -0.02174906 -0.03719596  0.04344282 -0.00699809  0.02769997  0.04414084]",3
"[8.44025809e-08 3.26586457e-04 2.87773696e-04 2.47470322e-05
 3.23594597e-05 4.49407531e-04 5.91685192e-06 6.59662780e-05
 2.24632289e-03 7.46483479e-07 7.31909752e-06 4.81628999e-04
 2.01941681e-04 4.40956752e-04 1.52902169e-03 8.59678005e-05
 1.03525447e-05 2.94288194e-04 1.61950857e-04 1.71545002e-04
 1.40253720e-04 6.04010451e-05 6.29175134e-04 5.25936418e-06
 2.52217009e-04 7.34724074e-04 1.00122944e-03 2.57005585e-05
 4.08566699e-04 1.03560036e-03]","[-0.0005035   0.03125514 -0.02932811  0.00861559  0.00982398  0.03668138
 -0.00419553  0.01405415  0.08198523 -0.00150467 -0.0046958   0.03800172
 -0.02458503  0.03631633  0.06765078  0.01603017  0.00558942  0.02969439
  0.02203944 -0.0226508  -0.02047828  0.01347108 -0.0434147   0.00397261
 -0.02748961 -0.04688937  0.05472796 -0.00875171  0.03498036  0.05567585]",4
"[1.05290682e-07 4.00752904e-04 3.52185743e-04 3.06894423e-05
 3.93075967e-05 5.53387493e-04 7.13245390e-06 8.12518191e-05
 2.76017784e-03 9.95957336e-07 9.26413844e-06 5.96482671e-04
 2.48363839e-04 5.40940106e-04 1.88091541e-03 1.05215395e-04
 1.32282154e-05 3.63423019e-04 2.00789474e-04 2.10406999e-04
 1.71855597e-04 7.54410560e-05 7.76443618e-04 6.53234740e-06
 3.11441723e-04 9.02965651e-04 1.22906613e-03 3.11428391e-05
 5.03715104e-04 1.27406033e-03]","[-0.00060057  0.03692919 -0.03459833  0.01024198  0.0115382   0.04342833
 -0.00490503  0.01664188  0.09694525 -0.00186109 -0.00564686  0.04514093
 -0.02908652  0.04290198  0.08004775  0.01891126  0.00675651  0.03521481
  0.02619617 -0.02675577 -0.0241754   0.01607922 -0.05146517  0.00472669
 -0.03259857 -0.05545143  0.06467752 -0.01026386  0.04144396  0.06588217]",5
"[1.26070104e-07 4.72046546e-04 4.13742145e-04 3.65302335e-05
 4.58295890e-05 6.54113469e-04 8.25332956e-06 9.60658041e-05
 3.25571736e-03 1.27112198e-06 1.12532971e-05 7.09098491e-04
 2.93206552e-04 6.36996554e-04 2.22110160e-03 1.23600573e-04
 1.62186536e-05 4.30812792e-04 2.38947056e-04 2.47727860e-04
 2.02132069e-04 9.04453078e-05 9.19761936e-04 7.78707047e-06
 3.69168341e-04 1.06525812e-03 1.44829781e-03 3.62215103e-05
 5.96150935e-04 1.50465172e-03]","[-0.00068827  0.0419139  -0.03920561  0.01169724  0.01301403  0.04939374
 -0.00550641  0.01893073  0.110123   -0.00220895 -0.00652502  0.05151631
 -0.03305729  0.04868481  0.09099014  0.02142892  0.00784798  0.04012091
  0.02991417 -0.03035912 -0.02741428  0.01844102 -0.05861023  0.00540295
 -0.03713878 -0.06299529  0.07342563 -0.01155913  0.0471724   0.07489305]",6
"[1.46728946e-07 5.40527844e-04 4.72519940e-04 4.22679029e-05
 5.19404168e-05 7.51634372e-04 9.28455264e-06 1.10414028e-04
 3.73332658e-03 1.57194888e-06 1.32853566e-05 8.19469758e-04
 3.36494137e-04 7.29213481e-04 2.54979922e-03 1.41141551e-04
 1.93233148e-05 4.96473630e-04 2.76414401e-04 2.83541955e-04
 2.31112918e-04 1.05407957e-04 1.05916304e-03 9.02292026e-06
 4.25413830e-04 1.22171582e-03 1.65911542e-03 4.09509853e-05
 6.85917212e-04 1.72752856e-03]","[-0.0007675   0.04627831 -0.04321696  0.01299793  0.01427566  0.05465545
 -0.00601111  0.02095031  0.12169757 -0.002548   -0.00733696  0.05720268
 -0.03655006  0.05374542  0.10062368  0.02361927  0.00887063  0.04447356
  0.03323598 -0.03351121 -0.03024081  0.02058027 -0.06493931  0.00600884
 -0.04116681 -0.06962288  0.08109308 -0.0126597   0.05223922  0.08282851]",7
"[1.67255331e-07 6.06257605e-04 5.28595321e-04 4.79011834e-05
 5.76548767e-05 8.45999880e-04 1.02310312e-05 1.24302477e-04
 4.19338903e-03 1.89825715e-06 1.53589787e-05 9.27590694e-04
 3.78251605e-04 8.17678008e-04 2.86722723e-03 1.57856818e-04
 2.25414187e-05 5.60422266e-04 3.13183150e-04 3.17883654e-04
 2.58827983e-04 1.20323159e-04 1.19468150e-03 1.02393627e-05
 4.80195235e-04 1.37245350e-03 1.86170932e-03 4.53454577e-05
 7.73057256e-04 1.94284489e-03]","[-0.00083905  0.05008464 -0.04669274  0.01415902  0.01534486  0.05928355
 -0.00642947  0.02272731  0.13183018 -0.00287804 -0.00808869  0.06226738
 -0.03961238  0.05815641  0.10907958  0.02551488  0.00983055  0.04832761
  0.0361999  -0.03625739 -0.03269634  0.0225184  -0.07053298  0.00655105
 -0.04473359 -0.07542597  0.08778867 -0.01358553  0.05671062  0.08979662]",8
"[1.87637448e-07 6.69296894e-04 5.82043618e-04 5.34290340e-05
 6.29875727e-05 9.37260376e-04 1.10975067e-05 1.37737318e-04
 4.63628643e-03 2.24972617e-06 1.74727090e-05 1.03345648e-03
 4.18504600e-04 9.02476944e-04 3.17360439e-03 1.73765113e-04
 2.58719539e-05 6.22676009e-04 3.49245783e-04 3.50787295e-04
 2.85307137e-04 1.35185075e-04 1.32635340e-03 1.14359402e-05
 5.33529692e-04 1.51758623e-03 2.05626919e-03 4.94188914e-05
 8.57614651e-04 2.15075458e-03]","[-0.00090365  0.05338893 -0.04968729  0.01519401  0.01624127  0.06334121
 -0.0067708   0.02428575  0.14066605 -0.00319888 -0.00878558  0.06677106
 -0.04228707  0.06198316  0.11647598  0.02714513  0.01073321  0.05173245
  0.03884046 -0.03863852 -0.03481813  0.0242747  -0.07546379  0.00703567
 -0.04788496 -0.08048723  0.09361039 -0.01435462  0.06064622  0.09589469]",9
"[2.07863600e-07 7.29706959e-04 6.32939271e-04 5.88506300e-05
 6.79529061e-05 1.02546688e-03 1.18885533e-05 1.50724886e-04
 5.06239850e-03 2.62590799e-06 1.96249815e-05 1.13706328e-03
 4.57279337e-04 9.83696733e-04 3.46914914e-03 1.88885392e-04
 2.93136830e-05 6.83252708e-04 3.84595614e-04 3.82287154e-04
 3.10580254e-04 1.49987877e-04 1.45421635e-03 1.26122681e-05
 5.85434442e-04 1.65722928e-03 2.24298392e-03 5.31850102e-05
 9.39633196e-04 2.35141122e-03]","[-0.00096196  0.05624168 -0.05224957  0.01611508  0.01698256  0.06688531
 -0.00704346  0.02564728  0.14833593 -0.0035104  -0.00943247  0.07076828
 -0.04461273  0.06528456  0.12291928  0.02853645  0.01158355  0.05473254
  0.04118877 -0.0406914  -0.03663973  0.02586651 -0.07979708  0.00746819
 -0.05066218 -0.08488113  0.09864648 -0.01498321  0.06409972  0.10121039]",10
