dataset,circuit_id,layer,num_params,accuracy,entcap,expr,last_cost_avg,num_iter
0.0,1.0,1.0,14.0,0.8636363636363636,3.177738827915511e-32,0.3669266714527539,0.06322192070461896,1024.0
0.0,1.0,3.0,42.0,0.8636363636363636,1.825243918942827e-31,0.1580816855183332,0.06289314575333754,1024.0
0.0,1.0,5.0,70.0,0.8636363636363636,3.406109717357655e-31,0.20330538968559014,0.0627315536050917,1024.0
0.0,1.0,7.0,98.0,0.8636363636363636,5.008010210407801e-31,0.22476503045315332,0.06257550552146134,1024.0
0.0,1.0,9.0,126.0,0.8636363636363636,6.667748860027021e-31,0.17511100026703558,0.06256148854170225,1024.0
0.0,1.0,11.0,154.0,0.8636363636363636,8.24777188960492e-31,0.22066596773256308,0.0625616083947494,1024.0
0.0,1.0,13.0,182.0,0.8636363636363636,9.855350282268567e-31,0.17354763413156757,0.06256524522357762,1024.0
0.0,1.0,15.0,210.0,0.8636363636363636,1.1452771169722955e-30,0.1987332464892511,0.06257818725356319,1024.0
0.0,2.0,1.0,14.0,0.8636363636363636,0.747125065951164,0.22228859328918232,0.08554115399762527,1024.0
0.0,2.0,3.0,42.0,0.9090909090909091,0.8982174535838562,0.016027029256963435,0.03895006536431396,1024.0
0.0,2.0,5.0,70.0,0.9090909090909091,0.9481294534008841,0.0005640798608206397,0.03965211335527853,1024.0
0.0,2.0,7.0,98.0,0.9545454545454546,0.9681106893857526,0.0021241896748684496,0.029808533913294806,1024.0
0.0,2.0,9.0,126.0,0.9545454545454546,0.9749056868310113,0.0010054963206309827,0.029510091332235935,1024.0
0.0,2.0,11.0,154.0,0.9545454545454546,0.9761777330977564,0.0037041597389276086,0.024968591772385633,1024.0
0.0,2.0,13.0,182.0,0.9545454545454546,0.9768152948182496,0.001412914318521901,0.02969218818370084,1024.0
0.0,2.0,15.0,210.0,0.9545454545454546,0.976287846490517,0.0016029623949128406,0.023921774132537377,1024.0
0.0,3.0,1.0,20.0,0.9090909090909091,0.19753728331215517,0.2638559245195966,0.06770211347797764,1024.0
0.0,3.0,3.0,60.0,0.8636363636363636,0.48035913075544057,0.06125314019732088,0.04440504448875842,1024.0
0.0,3.0,5.0,100.0,0.9090909090909091,0.6357168980294585,0.0606586684890342,0.04376442920686348,1024.0
0.0,3.0,7.0,140.0,0.8636363636363636,0.7135752643021454,0.026785680647485294,0.034647831379536295,1024.0
0.0,3.0,9.0,180.0,0.8636363636363636,0.7683390724081253,0.012569637239455169,0.03186765508590852,1024.0
0.0,3.0,11.0,220.0,0.9090909090909091,0.8088861015220185,0.0026013255990283268,0.03241509936863806,1024.0
0.0,3.0,13.0,260.0,0.9090909090909091,0.8382694728158048,0.0011492660511223903,0.02669875133080811,1024.0
0.0,3.0,15.0,300.0,0.9090909090909091,0.8637991874000105,0.0039030004557791473,0.026066021912996812,1024.0
0.0,4.0,1.0,20.0,0.8636363636363636,0.36094426828770176,0.21754649279591548,0.04884042172010293,1024.0
0.0,4.0,3.0,60.0,0.8636363636363636,0.6421475287322299,0.03703390056540745,0.04061042015022191,1024.0
0.0,4.0,5.0,100.0,0.9090909090909091,0.7573814522656693,0.014745427895164144,0.040555776286545636,1024.0
0.0,4.0,7.0,140.0,0.9545454545454546,0.8264431112043249,0.005541837540918677,0.03405534819393741,1024.0
0.0,4.0,9.0,180.0,0.9545454545454546,0.8703688663104004,0.003284054515696421,0.028252149052950776,1024.0
0.0,4.0,11.0,220.0,0.9545454545454546,0.9004307889462662,0.0019835983929030014,0.03695365018487194,1024.0
0.0,4.0,13.0,260.0,0.9090909090909091,0.9201727995119415,0.0035198178014846475,0.027671676027039883,1024.0
0.0,4.0,15.0,300.0,0.9090909090909091,0.9361087659123448,0.004742021902069807,0.03465364326512055,1024.0
0.0,5.0,1.0,70.0,0.8636363636363636,0.4156420856768073,0.0519371535967626,0.04775267610793371,1024.0
0.0,5.0,3.0,210.0,0.9090909090909091,0.8812983904977602,0.0016571350192598191,0.041392962601705524,1024.0
