dataset,circuit_id,layer,num_params,accuracy,entcap,expr,last_cost_avg,num_iter
0.0,1.0,1.0,12.0,0.8837209302325582,2.587389301367609e-32,0.3829329462849601,0.09342961634889795,1024.0
0.0,1.0,3.0,36.0,0.8488372093023255,1.4554022886451962e-31,0.28514428061853286,0.0716825445016546,1024.0
0.0,1.0,5.0,60.0,0.8488372093023255,2.7654376464688737e-31,0.23188632007235466,0.07168186802826318,1024.0
0.0,1.0,7.0,84.0,0.8488372093023255,4.137156687517904e-31,0.23275830598789488,0.07168301937154162,1024.0
0.0,1.0,9.0,108.0,0.8488372093023255,5.4608508898810665e-31,0.2184119683446284,0.07168197241295168,1024.0
0.0,1.0,11.0,132.0,0.8488372093023255,6.735557643059151e-31,0.14930758650878173,0.07168284752954884,1024.0
0.0,1.0,13.0,156.0,0.8488372093023255,8.037719139315273e-31,0.2689726421214245,0.0716841722561703,1024.0
0.0,1.0,15.0,180.0,0.8023255813953488,9.381355677489853e-31,0.2165578304394875,0.08738703872570425,1024.0
0.0,2.0,1.0,12.0,0.8604651162790697,0.7225033672319795,0.37533741886863226,0.026580142610333087,1024.0
0.0,2.0,3.0,36.0,0.872093023255814,0.8778991114655523,0.010629683570610064,0.026830612766007407,1024.0
0.0,2.0,5.0,60.0,0.8837209302325582,0.9307602445202635,0.005054328669632456,0.01573234528424159,1024.0
0.0,2.0,7.0,84.0,0.9186046511627907,0.947844806651977,0.0037015136832340674,0.010767622734844221,1024.0
0.0,2.0,9.0,108.0,0.9186046511627907,0.9521476458628302,0.0044726353749088175,0.011335234595658912,1024.0
0.0,2.0,11.0,132.0,0.8953488372093024,0.9539245672921426,0.0035327461129261847,0.011912170492010278,1024.0
0.0,2.0,13.0,156.0,0.9302325581395349,0.9543543269143806,0.007659814776307426,0.011226744043383242,1024.0
0.0,2.0,15.0,180.0,0.8953488372093024,0.954134733339926,0.009580684264044674,0.011892516624542136,1024.0
0.0,3.0,1.0,17.0,0.8488372093023255,0.18970912034626092,0.2576719554314878,0.07174213290718161,1024.0
0.0,3.0,3.0,51.0,0.8604651162790697,0.4764351891135403,0.07104253011092801,0.04880557350007756,1024.0
0.0,3.0,5.0,85.0,0.8837209302325582,0.6236529946456613,0.0426646064068521,0.04997468612299062,1024.0
0.0,3.0,7.0,119.0,0.872093023255814,0.7041928180581553,0.021366074771542128,0.02360919648446544,1024.0
0.0,3.0,9.0,153.0,0.872093023255814,0.7519057051652767,0.03219104341196949,0.017270347389937983,1024.0
0.0,3.0,11.0,187.0,0.8837209302325582,0.7913675542672814,0.006436752026688663,0.021108049378887384,1024.0
0.0,3.0,13.0,221.0,0.8953488372093024,0.8215438962199886,0.006780989512867707,0.015128385861070959,1024.0
0.0,3.0,15.0,255.0,0.8953488372093024,0.8530887487535378,0.00698641052243219,0.013831013485397258,1024.0
0.0,4.0,1.0,17.0,0.872093023255814,0.35118006240533095,0.16895536116517806,0.05966647807334681,1024.0
0.0,4.0,3.0,51.0,0.8604651162790697,0.6262668251283956,0.030330697927134616,0.039174116955890216,1024.0
0.0,4.0,5.0,85.0,0.8953488372093024,0.7379968007631195,0.017252655532328277,0.04631386317353123,1024.0
0.0,4.0,7.0,119.0,0.872093023255814,0.8078194049577904,0.009957042633408651,0.01615970759507624,1024.0
0.0,4.0,9.0,153.0,0.8953488372093024,0.8518234059378869,0.009843792332869503,0.012199897718101413,1024.0
0.0,4.0,11.0,187.0,0.872093023255814,0.88505057341514,0.0048622875515315165,0.015411647055900545,1024.0
0.0,4.0,13.0,221.0,0.8953488372093024,0.9029342158688216,0.003149299432685807,0.014757581325015513,1024.0
0.0,4.0,15.0,255.0,0.9069767441860465,0.918362980155066,0.004504040005258461,0.013572484466944344,1024.0
0.0,5.0,1.0,54.0,0.8837209302325582,0.37873367495180815,0.05391035102219935,0.052345067968866316,1024.0
0.0,5.0,3.0,162.0,0.8488372093023255,0.8484669005562562,0.0014560525743049753,0.013868175865323367,1024.0
0.0,5.0,5.0,270.0,0.8837209302325582,0.9362860541229922,0.003343035257285935,0.011294658659077732,1024.0
0.0,5.0,7.0,378.0,0.8837209302325582,0.9491248448639298,0.002823270112810823,0.014006353484050781,1024.0
0.0,5.0,9.0,486.0,0.872093023255814,0.9531867091428781,0.0022987147670236524,0.017694605127763854,1024.0
0.0,5.0,11.0,594.0,0.8837209302325582,0.9535820221229075,0.010545573651416866,0.015624404844626861,1024.0
0.0,5.0,13.0,702.0,0.872093023255814,0.9542672049091808,0.0033998482427499777,0.01891322521635757,1024.0
0.0,5.0,15.0,810.0,0.872093023255814,0.9548672961413601,0.005350203855846068,0.02072332931782952,1024.0
0.0,6.0,1.0,54.0,0.8953488372093024,0.861966128985884,0.007379022638076292,0.014885428542441109,1024.0
0.0,6.0,3.0,162.0,0.9069767441860465,0.9530127447238304,0.011629386284000003,0.01139293435823772,1024.0
0.0,6.0,5.0,270.0,0.9069767441860465,0.9552288436868956,0.004604064190191992,0.012176732468976853,1024.0
0.0,6.0,7.0,378.0,0.9186046511627907,0.953074877148403,0.006486900522159328,0.011820498660121265,1024.0
0.0,6.0,9.0,486.0,0.872093023255814,0.9536076579178631,0.005879589106464921,0.021332891636042167,1024.0
0.0,6.0,11.0,594.0,0.8837209302325582,0.9534903418200958,0.004786257026000972,0.01567117454591854,1024.0
0.0,6.0,13.0,702.0,0.8604651162790697,0.9538812752446877,0.005605849908411988,0.0186121711219206,1024.0
0.0,6.0,15.0,810.0,0.872093023255814,0.9536748907585111,0.003627302291392206,0.016451481193440514,1024.0
0.0,7.0,1.0,29.0,0.8372093023255814,0.24267348301832584,0.18577241924224236,0.0833737276441184,1024.0
0.0,7.0,3.0,87.0,0.8255813953488372,0.5593518716047199,0.0873468578851008,0.040096096066184556,1024.0
0.0,7.0,5.0,145.0,0.872093023255814,0.6875840953596103,0.013716114215310708,0.019954316390909322,1024.0
0.0,7.0,7.0,203.0,0.8837209302325582,0.7628227126545484,0.011649528094648075,0.012520060614515924,1024.0
0.0,7.0,9.0,261.0,0.8953488372093024,0.8154001932461444,0.006682396880414285,0.012924049310296181,1024.0
0.0,7.0,11.0,319.0,0.8953488372093024,0.8531941200707837,0.005888875572543105,0.025336495254245493,1024.0
0.0,7.0,13.0,377.0,0.8837209302325582,0.8763226160674346,0.002613788624647435,0.018247954987112902,1024.0
0.0,7.0,15.0,435.0,0.8837209302325582,0.8930295618106201,0.005028394384799904,0.015568832974366023,1024.0
0.0,8.0,1.0,29.0,0.8255813953488372,0.3200249418215428,0.12868696872151922,0.04165211475469701,1024.0
0.0,8.0,3.0,87.0,0.8953488372093024,0.6235870295522147,0.061886949399592134,0.04130889125752464,1024.0
0.0,8.0,5.0,145.0,0.8837209302325582,0.7455260346747603,0.017939457430049998,0.014870950069281215,1024.0
0.0,8.0,7.0,203.0,0.8604651162790697,0.8119202042144241,0.006359021697134527,0.02081640527666047,1024.0
0.0,8.0,9.0,261.0,0.8953488372093024,0.8596737289885152,0.0028152877256412637,0.014632774545947465,1024.0
0.0,8.0,11.0,319.0,0.8953488372093024,0.8872480732699268,0.004362562325215716,0.015081595979637066,1024.0
0.0,8.0,13.0,377.0,0.9069767441860465,0.9064489543266444,0.0033893293135898563,0.01387857661137613,1024.0
